ID,Gender,Education,Age,Country,State,OtherLang,SpanishVariety,EnglishVariety
1756895371,Female,4-year degree (e.g. B.A.%2C B.Sc.),30,United States,Florida,NA,Nicaraguan%2C Dominican,Mainstream US English
1756909603,Male,4-year degree (e.g. B.A.%2C B.Sc.),35,USA,Delaware,NA,Mexican /Argentine,New York English
1756910679,Gender variant/non-conforming,4-year degree (e.g. B.A.%2C B.Sc.),30,USA,California,NA,Mexican /Guatemalan,Mainstream US English
1756910716,Gender variant/non-conforming,Some college,24,Uniter States,Utah,Russian in college%2C and French in high school,Mexican,US English
1756911109,Male,4-year degree (e.g. B.A.%2C B.Sc.),24,United States,Nevada,NA,Mexican,US English
1756911124,Male,Masters,26,usa,ca,none,Mexican,US
1756911728,Female,4-year degree (e.g. B.A.%2C B.Sc.),25,United States,MN,NA,Mexican / Guatemalan,Mainstream US English
1756911830,Female,4-year degree (e.g. B.A.%2C B.Sc.),32,United States,Texas,none,Mexican,texas
1756912291,Female,Some graduate school,31,United States of America,Oregon,German%2C 20,Mexican,Mainstream US English
1756913531,Female,4-year degree (e.g. B.A.%2C B.Sc.),24,US,CA,NA,Mexican,US English
1756913950,Male,2-year degree (e.g. A.A.%2C A.S.),34,USA,Iowa,NA,Mexican,Midwest or West coast%2C or mixture of both
1756914813,Male,4-year degree (e.g. B.A.%2C B.Sc.),27,United States,OR,none,Mexican,Mainstream US
1756915119,Gender variant/non-conforming,Some college,31,US,CA,N/A,Mexican,Mainstream US
1756915463,Female,2-year degree (e.g. A.A.%2C A.S.),21,United States,WI,n/a,Puerto-Rican,US
1756915983,Female,2-year degree (e.g. A.A.%2C A.S.),22,United States of America,Florida,NA,Cuban / Dominican,Mainstream US English
1756916085,Male,2-year degree (e.g. A.A.%2C A.S.),26,USA,Florida,NA,Honduran,Mainstream US English
1756916919,Female,2-year degree (e.g. A.A.%2C A.S.),34,United states,texas,NA,Salvadorian / Mexican,US English
1756917850,Male,4-year degree (e.g. B.A.%2C B.Sc.),28,united states,california,n/a,Mexican,mainstream us english
1756919098,Male,4-year degree (e.g. B.A.%2C B.Sc.),32,United States,TX,NA,Dominican,Standard US
1756919755,Male,High school,25,United States,Texas,n/a.,Mexican,Us english
1756920593,Male,4-year degree (e.g. B.A.%2C B.Sc.),34,USA,Texas,N/A,Mexican,Mainstream US English
1756921016,Female,2-year degree (e.g. A.A.%2C A.S.),29,United States,California,NA,Mexican,Mainstream US English
1756921042,Female,Some college,26,United States,texas,n/a,Mexican /Central America,us English
1756921812,Male,2-year degree (e.g. A.A.%2C A.S.),29,United States of America,California,I learned italian at 26 years old,Mexican,Mainstream US English
1756923339,Female,High school,30,United states,IL,NA,Mexican,Us english
1756924006,Female,4-year degree (e.g. B.A.%2C B.Sc.),35,United States,CA,NA,Mexican/  Californian Mexican-American%2C Spanglish,Mainstream US%2C Californian Colloquial
1756925622,Female,4-year degree (e.g. B.A.%2C B.Sc.),27,united states,texas,french%2C 16,honduran,us english
1756926764,Female,Some graduate school,25,united states,texas,NA,Salvadoran,Mainstream US
1756949650,Female,4-year degree (e.g. B.A.%2C B.Sc.),22,United States,Delaware,NA,Mexican,US English
1756951388,Female,2-year degree (e.g. A.A.%2C A.S.),NA,USA,California,NA,Mexican,Mainstream US English
1756952308,Female,Some college,19,United States,NJ,None,Colombian,Mainstream English
1756952899,Female,4-year degree (e.g. B.A.%2C B.Sc.),35,United States,FL,NA,CUBAN,MAINSTREAM US ENGLISH
1756959005,Male,High school,25,United States,Arizona,NA,Mexican,Mainstream US English
1756960877,Female,Some college,20,United States,California,NA,Mexican,US
1756963016,Female,4-year degree (e.g. B.A.%2C B.Sc.),27,United States,California,NA,Guatemalan,Mainstream US English
1756964537,Male,High school,27,United States of America,Texas,NA,Mexican / Castilian,US english%2C UK english%2C Australian English
1756970865,Female,4-year degree (e.g. B.A.%2C B.Sc.),25,USA,Texas,n/a,Mexican,Mainstream US English
1756970872,Female,4-year degree (e.g. B.A.%2C B.Sc.),28,United States,Arkansas,NA,Mexican / Salvadoran,US English
1756981962,Male,High school,34,United States,Florida,NA,Puerto-Rican,US English
1756987849,Female,4-year degree (e.g. B.A.%2C B.Sc.),35,United States,New Jersey,NA,Argentinian,Mainstream
1756994364,Male,Some college,30,United States,Illinois,NA,Mexican,Mainstream US English
1756997230,Male,4-year degree (e.g. B.A.%2C B.Sc.),31,United States,Texas,NA,Mexican,Mainstream US English
1756997491,Female,Masters,34,US,Florida,French since I was 2.5 and Catalan since I was 2.5,Castilian,US
1756999154,Gender variant/non-conforming,4-year degree (e.g. B.A.%2C B.Sc.),29,USA,Texas,NA,Mexican,Mainstream US English
1756999618,Female,4-year degree (e.g. B.A.%2C B.Sc.),30,United States,Texas,NA,Mexican,Mainstream US
1757003636,Male,High school,28,usa,md,na,salvadorean,main stream us%2C olde english and australian
1757004184,Male,4-year degree (e.g. B.A.%2C B.Sc.),34,united states,new york,Portuguese- 28 years old,Dominican,Mainstream US English
1757004907,Male,Some college,23,United States of America,California,NA,Mexican,US English
1757005917,Male,2-year degree (e.g. A.A.%2C A.S.),32,United States,CA,NA,Tabasco%2C Mexico,Standard US English
1757007121,Male,4-year degree (e.g. B.A.%2C B.Sc.),31,USA,FL,NA,Central American%2C cuban,Mainstream US
1757111031,Male,Some college,32,USA,CA,N/A,Mexican Honduran,Us English
1757112490,Gender variant/non-conforming,Some graduate school,33,Usa,illinois,French 14,Colombian and Ecuadorian,Mainstream US english
1757120322,Female,Masters,26,United States,OH,NA,Puerto-Rican,Mainstream US
1757122469,Male,4-year degree (e.g. B.A.%2C B.Sc.),29,United States,Florida,Japanese (Intermediate)%2C 23 years old,Castilian%2C Cuban,US English
1757123776,Female,4-year degree (e.g. B.A.%2C B.Sc.),23,United States,New Mexico,French%2C 20,Mexican,Mainstream US
1757138006,Female,2-year degree (e.g. A.A.%2C A.S.),22,united states,florida,NA,colombian,US English
1757169831,Female,Some graduate school,26,USA,Florida,NA,Venezuelan,Mainstream US
1757177561,Female,High school,22,United States,New Jersey,NA,Mexican,Mainstream US English
1757179289,Female,Some college,30,usa,florida,NA,cuban%2C nicaraguan,mainstream us english
1757179538,Female,Some college,22,United States,Oklahoma,NA,Mexican,Mainstream US English
1757179629,Male,High school,25,United States,GA,NA,Mexican,US English
1757182358,Female,Some college,21,U.S.,Illinois,NA,Panamanian/Spain type,Mainstream US English
1757183724,Female,4-year degree (e.g. B.A.%2C B.Sc.),35,United States,IL,n/a,Mexican,US English
1757297484,Male,4-year degree (e.g. B.A.%2C B.Sc.),23,United States,TX,NA,Mexican,Main US English
1757298155,Female,4-year degree (e.g. B.A.%2C B.Sc.),22,USA,CA,NA,Mexican,Mainstream US English
1757298947,Gender variant/non-conforming,Masters,26,USA,Kansas,n/a,Colombian,mainstream US english
1757305123,Male,Masters,35,United States,FL,NA,Venezuelan,Mainstream US english
1757336424,Male,2-year degree (e.g. A.A.%2C A.S.),25,united states,kentucky,germain 15,mexican,mainstream
1757613893,Male,4-year degree (e.g. B.A.%2C B.Sc.),35,USA,California,NA,Mexican,US English
1757618233,Female,4-year degree (e.g. B.A.%2C B.Sc.),22,United States,California,n/a,Mexican%2C Chilean,Mainstream US English
1757619131,Female,4-year degree (e.g. B.A.%2C B.Sc.),35,USA,CA,NA,NA,Mainstream US
