participant,inner_number,Item,Itemtype,cloze_clean,cloze_probability
human,32,The boss of the store where he worked afternoons refused to give him a,English,raise,0.736842105263158
human,33,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the",code_switching,night,1
human,33,"He knew that he could call Chris, even in the middle of the",English,night,0.944444444444444
human,34,Die Kinder der Schule vor meinem Haus went outside to,code_switching,play,0.833333333333333
human,34,The children from the school across from my house went outside to,English,play,0.947368421052632
human,35,Die junge Mutter aus der Nachbarschaft fütterte her baby some warm,code_switching,milk,0.526315789473684
human,35,The young mother in the neighborhood fed her baby some warm,English,milk,0.833333333333333
human,36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on",code_switching,vacation,0.444444444444444
human,36,The schools closed down because the teachers decided to go on,English,vacation,0.473684210526316
human,37,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",code_switching,coffee,0.578947368421053
human,37,"Within minutes of arriving at the office, the detective spilled his thermos full of",English,coffee,0.722222222222222
human,38,Mein Mitbewohner aus Berlin ließ the dirty dishes in the,code_switching,sink,0.833333333333333
human,38,My roommate from Berlin left the dirty dishes in the,English,sink,0.789473684210526
human,39,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to",code_switching,fall,0.947368421052632
human,39,Richard was afraid to walk near the edge of the cliff because he was afraid to,English,fall,1
human,40,Die Mathelehrerin der vierten Klasse konnte nicht gut sehen without her thick,code_switching,glasses,1
human,40,The fourth grade math teacher could not see well without her thick,English,glasses,0.894736842105263
human,41,Die meisten Haiangriffe passieren very close to,code_switching,shore,0.578947368421053
human,41,Most shark attacks occur very close to,English,shore,0.5
human,42,Alle hupten den alten Mann an who was driving too,code_switching,slow,1
human,42,Everyone was honking at the old man who was driving too,English,slow,0.947368421052632
human,43,Keine seiner Geschichten made any real,code_switching,sense,0.789473684210526
human,43,None of his stories made any real,English,sense,0.944444444444444
human,44,Der Sekretär des Büros schickte the letter without a,code_switching,stamp,0.5
human,44,The office secretary mailed the letter without a,English,stamp,0.473684210526316
human,45,Die Kühe liefen von der Sonne weg into the cool,code_switching,shadow,0.684210526315789
human,45,The cows moved from the sun into the cool,English,shadow,0.5
human,46,Der Mann nebenan spielte his stereo much too,code_switching,loud,1
human,46,The man downstairs played his stereo much too,English,loud,1
human,47,Die Jungen spielten Murmeln and the girls jumped,code_switching,rope,0.684210526315789
human,47,The boys played marbles and the girls jumped,English,rope,0.5
human,48,Der Surfer aus Hawaii fiel von seinem Surfboard after the first big,code_switching,wave,1
human,48,The surfer from Hawaii fell off his surfboard after the first big,English,wave,1
human,49,Tim threw a rock and broke the,English,window,0.944444444444444
human,49,Tim warf einen Stein and broke the,code_switching,window,0.705882352941177
human,50,Steve spilled coffee all over his white,English,shirt,0.823529411764706
human,50,Steve verschüttete Kaffee all over his white,code_switching,shirt,0.722222222222222
human,51,"Er entschied sich, im Iran zu reisen, obwohl er wusste, it could be",code_switching,danger,0.882352941176471
human,51,He decided to travel to Iran even though he knew it could be,English,danger,0.888888888888889
human,52,Cold damp weather makes her joints ache so she took some aspirin for the,English,pain,0.764705882352941
human,52,"Kalte, feuchte Witterung lässt ihre Gelenke schmerzen, deshalb nahm sie some aspirin for the",code_switching,pain,0.888888888888889
human,53,"Before she arrived, he opened a bottle of wine and put on some soft",English,music,0.722222222222222
human,53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft",code_switching,music,0.705882352941177
human,54,Das Schiff mit den weißen Segeln verschwand into the thick,code_switching,fog,0.666666666666667
human,54,The ship with the white sails disappeared into the thick,English,fog,0.764705882352941
human,55,Ron bought a board for the window that was too long and then he bought one that was way too,English,short,0.777777777777778
human,55,"Ron kaufte ein Brett für das Fenster, das zu lang war, und dann kaufte er eins, that was way too",code_switching,short,0.764705882352941
human,56,"Als das Wetter wärmer wurde, begann Mark, seine leichtere Jacke zu tragen, und zwar nicht his heavy winter",code_switching,coat,0.5
human,56,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",English,coat,0.588235294117647
human,57,Er kaufte ihr eine Perlenkette for her,code_switching,birthday,0.647058823529412
human,57,He bought her a pearl necklace for her,English,birthday,0.722222222222222
human,58,Der junge Mann im Park must keep his pet on a,code_switching,leash,1
human,58,The young man in the park must keep his pet on a,English,leash,0.882352941176471
human,59,"Rachel liebt den Geruch von Tabak, but she can't stand all the",code_switching,smoke,0.882352941176471
human,59,Rachel loves the smell of tobacco but she can't stand all the,English,smoke,0.666666666666667
human,60,"Er hatte gerade genug Zeit, einen Kuchen zu kaufen und sich umzuziehen before the guests",code_switching,arrived,0.833333333333333
human,60,He had just enough time to buy a cake from the store and change his clothes before the guests,English,arrived,0.941176470588235
human,61,Das Eichhörnchen versteckte ein paar Nüsse in the big,code_switching,tree,0.588235294117647
human,61,The squirrel stored some nuts in the big,English,tree,0.666666666666667
human,62,Every morning before school his mother laid out his clothes and packed his,English,bag,0.411764705882353
human,62,Jeden morgen vor der Schule legte seine Mutter seine Kleidung raus and packed his,code_switching,bag,0.611111111111111
human,63,"Er kündigte seinen Job und verließ seine Familie, so he could sail around the",code_switching,world,0.941176470588235
human,63,He quit his job and left his family so that he could sail around the,English,world,0.833333333333333
human,64,Berühre auf gar keinen Fall the sticky wet,code_switching,floors,0.111111111111111
human,64,"In any case, don't touch the sticky wet",English,surface,0.235294117647059
human,65,Cats loved to be scratched behind the,English,ears,0.777777777777778
human,65,"Katzen lieben es, gekrault zu werden behind the",code_switching,ears,0.823529411764706
human,66,Die weiße Möve tauchte ab and caught a,code_switching,fish,0.944444444444444
human,66,The white seagull dove down and caught a,English,fish,0.941176470588235
human,67,John fegte den Boden with a long,code_switching,broom,0.941176470588235
human,67,John swept the floor with a long,English,broom,0.666666666666667
human,68,He was cold most of the night and finally got up to get another,English,blanket,0.764705882352941
human,68,"Ihm war die ganze Nacht kalt, bis er schließlich aufstand to get another",code_switching,blanket,0.833333333333333
human,69,"Anfangs lehnte der Junge es ab, aber eventually he changed his",code_switching,mind,0.941176470588235
human,69,"At first the boy refused, but eventually he changed his",English,mind,0.888888888888889
human,70,Rafael möchte den Wald schützen by guarding every,code_switching,tree,0.666666666666667
human,70,Rafael wants to preserve the forest by guarding every,English,tree,0.588235294117647
human,71,Es gab bunte Bilder on every single,code_switching,page,0.411764705882353
human,71,There were colorful pictures on every single,English,wall,0.555555555555556
human,72,"At the end of the trip, Pam had no more clothes to",English,wear,0.941176470588235
human,72,Pam hatte am Ende der Reise no more clothes to,code_switching,wear,0.833333333333333
human,73,Sie züchteten Schweine on their,code_switching,farm,0.941176470588235
human,73,They raised pigs on their,English,farm,0.944444444444444
human,74,Er entschied sich für deutschen Wein because the imported stuff was too,code_switching,expensive,0.666666666666667
human,74,He settled for German wine because the imported stuff was too,English,expensive,0.705882352941177
human,75,"Simon denkt, dass es ok ist, sich laute Musik anzuhören, even if his door is",code_switching,open,0.882352941176471
human,75,Simon thinks it's ok to listen to loud music even if his door is,English,open,0.944444444444444
human,76,His skin was bright red from spending time at the,English,beach,0.647058823529412
human,76,Seine Haut war knallrot from spending time at the,code_switching,beach,0.833333333333333
human,77,Phil nutzte die Pipette und tat einige drops in his,code_switching,eyes,0.470588235294118
human,77,Phil used the dropper to put some drops in his,English,eyes,0.555555555555556
human,78,"Der Oberst wünschte sich der Feldwebel würde seine Befehle nicht als höfliche Bitte wahrnehmen, but as a direct",code_switching,order,0.722222222222222
human,78,The colonel wished the sergeant would treat his command not as a polite request but as a direct,English,order,0.705882352941177
human,79,Sharon dried the bowls with a big,English,towel,0.777777777777778
human,79,Sharon trocknete die Schüsseln with a big,code_switching,towel,0.823529411764706
human,80,Misch die Karten thoroughly before you,code_switching,play,0.388888888888889
human,80,Shuffle the cards thoroughly before you,English,play,0.352941176470588
human,81,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very",code_switching,sharp,0.647058823529412
human,81,Esther didn't think the sword was dangerous because it wasn't very,English,sharp,0.888888888888889
human,82,Das Kleinkind schrie ununterbrochen and upset her,code_switching,mother,0.666666666666667
human,82,The child cried continuously and upset her,English,mother,0.588235294117647
human,83,"After the rents went up again, the tenants decided to take their landlord to",English,court,0.944444444444444
human,83,Die Mieter entschieden sich nach weiter steigenden Mietpreisen to take their landlord to,code_switching,court,0.941176470588235
human,84,"Als George nicht in sein Auto kam, kniete er sich hin und suchte under the bumper for the spare",code_switching,key,0.888888888888889
human,84,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare",English,key,0.823529411764706
human,85,Die Bauarbeiterin hatte sehr muskulöse Arme bekommen from unloading cement from the,code_switching,truck,0.882352941176471
human,85,The construction worker had developed very powerful arms from unloading cement from the,English,truck,0.777777777777778
human,86,Es war ihr immer wichtig to be on,code_switching,time,0.722222222222222
human,86,It was important for him to be on,English,time,0.647058823529412
human,87,Die Katze lag gerne curled up in Jill's,code_switching,lap,0.705882352941177
human,87,The cat liked to curl up in Jill's,English,lap,0.611111111111111
human,88,Our long-awaited guests should be arriving,English,soon,0.941176470588235
human,88,Unsere lang erwarteten Gäste should be arriving,code_switching,soon,0.833333333333333
human,89,Each night at midnight the boy scouts built a huge,English,fire,0.444444444444444
human,89,Jede Nacht um Mitternacht machten the boy scouts a huge,code_switching,party,0.411764705882353
human,90,"Es regnet und ich habe alles vergessen: my coat, hat, and",code_switching,umbrella,0.611111111111111
human,90,"It's raining, and I forgot everything: my coat, hat, and",English,umbrella,0.764705882352941
human,91,I just had a new sound system installed in my brand new,English,car,0.666666666666667
human,91,Ich ließ mir vor kurzem eine neue Musikanlage einbauen in my brand new,code_switching,car,0.588235294117647
human,92,"Die Umzugsleute schienen es sehr zu genießen, to toss the boxes marked",code_switching,fragile,0.666666666666667
human,92,The movers seemed to take great delight in tossing the boxes marked,English,fragile,0.647058823529412
human,93,An heißen Tagen sonnen sich viele Leute on the nearest,code_switching,beach,0.764705882352941
human,93,"On hot days, many people sun themselves on the nearest",English,beach,0.888888888888889
human,94,Er mochte Zitrone und Zucker in his hot,code_switching,tea,0.777777777777778
human,94,He liked lemon and sugar in his hot,English,tea,0.941176470588235
human,95,Es ist schwer zuzugeben when one is,code_switching,wrong,0.411764705882353
human,95,It's hard to admit when one is,English,wrong,0.722222222222222
human,96,"After dinner, they spent a long time over coffee just",English,talking,0.705882352941177
human,96,Nach dem Abendessen verbrachten sie viel Zeit over coffee just,code_switching,talking,0.388888888888889
human,97,Der biologische Dünger helped enrich the,code_switching,soil,0.423076923076923
human,97,The organic fertilizer helped enrich the,English,soil,0.409090909090909
human,98,Das Problem mit meinem Freund Paul ist that he can't take a,code_switching,joke,0.545454545454545
human,98,The problem with my friend Paul is that he can't take a,English,joke,0.538461538461538
human,99,Die zwei Räuber trugen Waffen but they didn't,code_switching,shoot,0.692307692307692
human,99,The two robbers carried guns but didn't,English,shoot,0.727272727272727
human,100,After two hours of hard work they decided to take a short,English,break,0.846153846153846
human,100,"Nach zwei Stunden harter Arbeit entschieden sie, to take a short",code_switching,break,0.818181818181818
human,101,He carefully positioned the violin under his,English,chin,0.681818181818182
human,101,Vorsichtig platzierte er the violin under his,code_switching,chin,0.423076923076923
human,102,Er legte eine saubere Decke on the clean,code_switching,floors,0.363636363636364
human,102,He put a new sheet on the clean,English,bed,0.5
human,103,"Sie entschieden, ein kleines Haus zu kaufen und bauten an addition with two more",code_switching,room,0.692307692307692
human,103,They decided to buy a small home and built an addition with two more,English,room,0.772727272727273
human,104,"Cindy brachte ihrer zweijährigen Tochter bei, dass Bilder quadratisch sind and that the plates are",code_switching,round,0.772727272727273
human,104,Cindy taught her two-year old that the pictures are square and that the plates are,English,round,0.807692307692308
human,105,"While the national anthem is played, one needs to show respect and everyone is expected to",English,stand,0.454545454545455
human,105,"Während die Nationalhymne läuft, soll man Respekt zeigen and everyone is expected to",code_switching,sing,0.423076923076923
human,106,After dinner they got up and washed the,English,dish,0.884615384615385
human,106,Nach dem Abendessen standen sie auf and washed the,code_switching,dish,0.909090909090909
human,107,After lunch he scraped the cold food from his,English,plate,0.681818181818182
human,107,Er kratzte nach dem Mittagessen the cold food from his,code_switching,plate,0.846153846153846
human,108,"Es gab Durchzug, weil die kalte Luft reinkam durch die Tür and all the side",code_switching,window,0.727272727272727
human,108,It was drafty because of the cold air leaking in through the door and all the side,English,window,0.615384615384615
human,109,"Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three",English,children,0.863636363636364
human,109,"Tracy und ihr Mann waren nicht katholisch, aber sie war froh, als der Priester welcomed their three",code_switching,children,0.692307692307692
human,110,As soon as they reached the sand he stopped to take off his,English,shoe,0.769230769230769
human,110,"Sobald sie am Sand angekommen waren, hielt er an to take off his",code_switching,shoe,0.409090909090909
human,111,Peter malte die Wände der Vogelausstellung blau an to resemble the,code_switching,sky,0.769230769230769
human,111,Peter painted the walls of the bird exhibit light blue to resemble the,English,sky,0.909090909090909
human,112,"After a warning, the bad boy was sent to his",English,room,0.615384615384615
human,112,Nach einer Ermahnung wurde der böse Junge sent to his,code_switching,room,0.590909090909091
human,113,"Niemand konnte Dan beim Klassentreffen wiedererkennen, because he had grown a",code_switching,beard,0.653846153846154
human,113,No one at the reunion recognized Dan because he had grown a,English,beard,0.727272727272727
human,114,"After the skiing accident, Randy broke his",English,legs,0.576923076923077
human,114,Nach dem Unfall beim Skifahren Randy broke his,code_switching,legs,0.363636363636364
human,115,Das alte Klavier aus Italien was out of,code_switching,tune,0.346153846153846
human,115,The old piano from Italy was out of,English,tune,0.318181818181818
human,116,Das Kind kam auf die Welt with a rare,code_switching,disease,0.590909090909091
human,116,The child was born with a rare,English,disease,0.461538461538462
human,117,She pulled her head out from under the faucet and reached for a,English,towel,0.545454545454545
human,117,Sie zog ihren Kopf unter dem Wasserhahn hervor and reached for a,code_switching,towel,0.692307692307692
human,118,Er schlich sich in den room without a,code_switching,noise,0.409090909090909
human,118,He crept into the room without a,English,noise,0.307692307692308
human,119,Der Ausgang war gekennzeichnet by a large,code_switching,sign,0.884615384615385
human,119,The exit was marked by a large,English,sign,0.863636363636364
human,120,Joe ging zum Baumarkt und kaufte Ersatzfenster at twice the original,code_switching,price,0.818181818181818
human,120,Joe went to the hardware store and bought a replacement window at twice the original,English,price,0.653846153846154
human,121,Sam could not believe her story was,English,true,0.818181818181818
human,121,Sam konnte nicht glauben dass her story was,code_switching,true,0.307692307692308
human,122,The Hausordnung erlaubte es Besuchern nicht to feed the,code_switching,animals,0.363636363636364
human,122,The house rules did not allow visitors to feed the,English,cats,0.192307692307692
human,123,Als Daniela ungeplannt im Restaurant auftachte gab Laurie ihm einen Stuhl from the adjacent,code_switching,table,0.807692307692308
human,123,"When Daniela arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent",English,table,0.681818181818182
human,124,She honestly seriously thought she had seen a,English,ghost,0.576923076923077
human,124,"Sie dachte tatsächlich ernsthaft, dass she had seen a",code_switching,ghost,0.5
human,125,"After the jeweler was asked, he would examine the ring's huge",English,diamond,0.681818181818182
human,125,"Nachdem der Juwelier gefragt wurde, überprüfte er the ring's huge",code_switching,diamond,0.576923076923077
human,126,He always drinks tea in the morning and uses a special filter to catch the loose,English,leaves,0.538461538461538
human,126,Morgens trinkt er immer Tee und benutzt ein besonderes Sieb to catch the loose,code_switching,leaves,0.863636363636364
human,127,She installed a new anti-virus program and is now convinced that her laptop is,English,safe,0.454545454545455
human,127,"Sie hat ein neues Anti-Virus-Programm installiert und ist nun überzeugt davon, that her laptop is",code_switching,safe,0.346153846153846
human,128,"She needed a special charging cable, but could not find it inside her",English,bag,0.384615384615385
human,128,"Sie brauchte ein bestimmtes Ladekabel, aber could not find it inside her",code_switching,bag,0.363636363636364
human,129,Er nahm sich einen kleinen Taschenrechner und typed in some,code_switching,numbers,0.807692307692308
human,129,He took a small pocket calculator and typed in some,English,numbers,0.863636363636364
human,130,Er holt einen neuen Korkenzieher and opened the,code_switching,bottle,0.909090909090909
human,130,He took a new cork screw and opened the,English,bottle,0.884615384615385
human,131,He folded out a big drying rack to dry the,English,clothes,0.409090909090909
human,131,"Sie klappt einen großen Wäscheständer auf, to dry the",code_switching,clothes,0.5
human,132,She grabbed a big pitcher near the sink and filled it with,English,water,0.846153846153846
human,132,Sie schnappte sich am Waschbecken eine große Kanne and filled it with,code_switching,water,0.954545454545455
human,133,Er leiht sich von Petra eine gute Fahrradpumpe to inflate the,code_switching,tire,0.461538461538462
human,133,He borrowed a good bicycle pump from Petra to inflate the,English,tire,0.454545454545455
human,134,Er kaufte sich einen neuen Rasierer to trim his,code_switching,beard,0.772727272727273
human,134,He bought a new razor to trim his,English,beard,0.961538461538462
human,135,Er nahm sich ein neues Taschentuch to wipe his,code_switching,tears,0.384615384615385
human,135,He got out a clean tissue to wipe his,English,nose,0.5
human,136,"Er besorgt sich im Alter eine neue Lesebrille, to read the",code_switching,newspaper,0.727272727272727
human,136,"When he got older, he got himself a pair of new reading glasses to read the",English,newspaper,0.423076923076923
human,137,Im Supermarkt nahm er sich einen großen Einkaufswagen und started filling it with,code_switching,groceries,0.653846153846154
human,137,In the supermarket he took a big shopping cart and started filling it with,English,groceries,0.636363636363636
human,138,She needs a custom-made wheel chair with an electric,English,motor,0.384615384615385
human,138,Sie braucht einen maßgefertigten Rollstuhl with an electric,code_switching,motor,0.409090909090909
human,139,Sie nahm beim Backen ein Sieb und verteilte den powdered sugar over the,code_switching,cake,0.576923076923077
human,139,"While baking, she took a sifter and sprinkled the powdered sugar over the",English,cake,0.727272727272727
human,140,She took her new pen to take some,English,notes,0.846153846153846
human,140,Sie nahm sich einen neuen Stift to take some,code_switching,notes,0.954545454545455
human,141,Das Mädchen holte sich einen luxuriösen Fön and dried her,code_switching,hair,1
human,141,The girl got herself a fancy blowdryer and dried her,English,hair,1
human,142,"In order to examine the unusual bacterium carefully, the biologist bought a more powerful",English,microscope,0.692307692307692
human,142,"Um die ungewöhnliche Bakterie sorgfältig untersuchen zu können, kaufte sich die Biologin a more powerful",code_switching,microscope,0.681818181818182
human,143,"Da der hölzerne Gartenstuhl eine harte Sitzfläche hatte, holte Karen a soft, fluffy",code_switching,pillow,0.692307692307692
human,143,"Since the wooden garden chair had a hard seat, Karen fetched a soft, fluffy",English,pillow,0.818181818181818
human,144,"Because Tom wants to go to India and work there for a year, he applies for a",English,visa,0.538461538461538
human,144,"Weil Tom nach Indien gehen und dort ein Jahr arbeiten möchte, he applies for a",code_switching,visa,0.590909090909091
claude,1,Nora couldn't take the message because she didn't have a pencil or a piece of,English,paper,1
gpt,1,Nora couldn't take the message because she didn't have a pencil or a piece of,English,paper,1
mistral,1,Nora couldn't take the message because she didn't have a pencil or a piece of,English,paper,1
claude,1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,paper,1
gpt,1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,paper,1
mistral,1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,paper,0.5789473684210527
claude,10,Der Bräutigam nahm die Hand der Braut und steckte the ring on her,code_switching,finger,1
gpt,10,Der Bräutigam nahm die Hand der Braut und steckte the ring on her,code_switching,finger,1
mistral,10,Der Bräutigam nahm die Hand der Braut und steckte the ring on her,code_switching,finger,1
claude,10,The groom took the bride's hand and placed the ring on her,English,finger,1
gpt,10,The groom took the bride's hand and placed the ring on her,English,finger,1
mistral,10,The groom took the bride's hand and placed the ring on her,English,finger,1
claude,100,After two hours of hard work they decided to take a short,English,break,1
gpt,100,After two hours of hard work they decided to take a short,English,break,1
mistral,100,After two hours of hard work they decided to take a short,English,break,1
claude,100,"Nach zwei Stunden harter Arbeit entschieden sie, to take a short",code_switching,break,1
gpt,100,"Nach zwei Stunden harter Arbeit entschieden sie, to take a short",code_switching,break,1
mistral,100,"Nach zwei Stunden harter Arbeit entschieden sie, to take a short",code_switching,break,1
claude,101,He carefully positioned the violin under his,English,chin,1
gpt,101,He carefully positioned the violin under his,English,chin,0.9047619047619048
mistral,101,He carefully positioned the violin under his,English,chin,1
claude,101,Vorsichtig platzierte er the violin under his,code_switching,chin,1
gpt,101,Vorsichtig platzierte er the violin under his,code_switching,arm,0.68
mistral,101,Vorsichtig platzierte er the violin under his,code_switching,chest,0.8846153846153846
claude,102,Er legte eine saubere Decke on the clean,code_switching,bed,1
gpt,102,Er legte eine saubere Decke on the clean,code_switching,floor,1
mistral,102,Er legte eine saubere Decke on the clean,code_switching,blanket,0.6818181818181818
claude,102,He put a new sheet on the clean,English,bed,1
gpt,102,He put a new sheet on the clean,English,bed,0.6
mistral,102,He put a new sheet on the clean,English,bed,1
claude,103,"Sie entschieden, ein kleines Haus zu kaufen und bauten an addition with two more",code_switching,bedrooms,1
gpt,103,"Sie entschieden, ein kleines Haus zu kaufen und bauten an addition with two more",code_switching,rooms,1
mistral,103,"Sie entschieden, ein kleines Haus zu kaufen und bauten an addition with two more",code_switching,bedrooms,1
claude,103,They decided to buy a small home and built an addition with two more,English,bedrooms,1
gpt,103,They decided to buy a small home and built an addition with two more,English,rooms,1
mistral,103,They decided to buy a small home and built an addition with two more,English,bedrooms,0.5
claude,104,"Cindy brachte ihrer zweijährigen Tochter bei, dass Bilder quadratisch sind and that the plates are",code_switching,round,1
gpt,104,"Cindy brachte ihrer zweijährigen Tochter bei, dass Bilder quadratisch sind and that the plates are",code_switching,round,1
mistral,104,"Cindy brachte ihrer zweijährigen Tochter bei, dass Bilder quadratisch sind and that the plates are",code_switching,flat,1
claude,104,Cindy taught her two-year old that the pictures are square and that the plates are,English,round,1
gpt,104,Cindy taught her two-year old that the pictures are square and that the plates are,English,round,1
mistral,104,Cindy taught her two-year old that the pictures are square and that the plates are,English,round,1
claude,105,"While the national anthem is played, one needs to show respect and everyone is expected to",English,stand,1
gpt,105,"While the national anthem is played, one needs to show respect and everyone is expected to",English,stand,1
mistral,105,"While the national anthem is played, one needs to show respect and everyone is expected to",English,stand,1
claude,105,"Während die Nationalhymne läuft, soll man Respekt zeigen and everyone is expected to",code_switching,stand,1
gpt,105,"Während die Nationalhymne läuft, soll man Respekt zeigen and everyone is expected to",code_switching,stand,0.92
mistral,105,"Während die Nationalhymne läuft, soll man Respekt zeigen and everyone is expected to",code_switching,stand,1
claude,106,After dinner they got up and washed the,English,dishes,1
gpt,106,After dinner they got up and washed the,English,dishes,1
mistral,106,After dinner they got up and washed the,English,dishes,0.6538461538461539
claude,106,Nach dem Abendessen standen sie auf and washed the,code_switching,dishes,1
gpt,106,Nach dem Abendessen standen sie auf and washed the,code_switching,dishes,1
mistral,106,Nach dem Abendessen standen sie auf and washed the,code_switching,dishes,1
