ID,inner_number,Itemtype,Item,Completion,Best_completion,Unexpected_word,Sentence_length,Sentence_words,Language,English_tranlsation,cloze_clean,exclusion_explanation,exclusion_liberal,conservation_exclusion,comments
1750873464,36,English,The schools closed down because the teachers decided to go on,strike,,,61,11,E,NA,strike,NA,NA,NA,NA
1750873464,26,English,The rude waiter in the restaurant was not given a,tip.,,,49,10,E,NA,tip,NA,NA,NA,NA
1750873464,16,English,I didn't like the show so I changed the,channel.,,,39,9,E,NA,channel,NA,NA,NA,NA
1750873464,31,code_switching,Bill sprang in den See and made a big,splash.,Splash (?),commotion,37,9,E,NA,splash,NA,NA,NA,NA
1750873464,34,English,The children from the school across from my house went outside to,play.,,,65,12,E,NA,play,NA,NA,NA,NA
1750873464,43,code_switching,Keine seiner Geschichten made any real,sense.,Sense,fans,38,6,E,NA,sense,NA,NA,NA,NA
1750873464,19,code_switching,Ein Hund in guter Gesundheit has a good sense of,smell,Smell,loyalty,48,10,E,NA,smell,NA,NA,NA,NA
1750874407,4,English,The little girl refused to go to sleep until he told her a,story,,,58,13,E,NA,story,NA,NA,NA,NA
1750874407,24,English,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",phone,,,81,15,E,NA,phone,NA,NA,NA,NA
1750874407,17,code_switching,"Als der Strom ausfiel, sahen wir nichts mehr and the house became",dark,Dark,Cold,65,12,E,NA,dark,NA,NA,NA,NA
1750874407,11,code_switching,Der Vater in der Küche carved the turkey with a,knife,Knife,smile,47,10,E,NA,knife,NA,NA,NA,NA
1750874407,32,English,The boss of the store where he worked afternoons refused to give him a,raise,,,70,14,E,NA,raise,NA,NA,NA,NA
1750874407,6,English,The inmates in prison were planning their,escape.,,,41,7,E,NA,escape,NA,NA,NA,NA
1750874407,8,English,Marsha knew the guests could remain eating appetizers for at least another,hour,,,75,12,E,NA,hour,NA,NA,NA,NA
1750874407,37,code_switching,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",coffee,Coffee,Scotch,94,15,E,NA,coffee,NA,NA,NA,NA
1750874407,9,code_switching,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,school.,School,Success,83,14,E,NA,school,NA,NA,NA,NA
1750874407,38,English,My roommate from Berlin left the dirty dishes in the,sink.,,,52,10,E,NA,sink,NA,NA,NA,NA
1750874407,34,English,The children from the school across from my house went outside to,play,,,65,12,E,NA,play,NA,NA,NA,NA
1750874407,40,English,The fourth grade math teacher could not see well without her thick,glasses,,,66,12,E,NA,glasses,NA,NA,NA,NA
1750874407,45,code_switching,Die Kühe liefen von der Sonne weg into the cool,shade,Shade,mud,47,10,E,NA,shade,NA,NA,NA,NA
1750874407,44,English,The office secretary mailed the letter without a,stamp,,,48,8,E,NA,stamp,NA,NA,NA,NA
1750874407,41,code_switching,Die meisten Haiangriffe passieren very close to,shore.,Shore,winter,47,7,E,NA,shore,NA,NA,NA,NA
1750874407,18,English,Alfonso has started biking to work instead of driving his,car,,,57,10,E,NA,car,NA,NA,NA,NA
1750874407,14,English,Maria shut the front window and locked the back,door,,,47,9,E,NA,door,NA,NA,NA,NA
1750874407,12,English,"Mike felt sorry, but it was not his",fault.,,,35,8,E,NA,fault,NA,NA,NA,NA
1750874407,NA,code_switching,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to",fall.,NA,NA,NA,NA,E,NA,fall,NA,NA,NA,NA
1750874407,27,code_switching,"Dass er aufgewachsen war im Süden, you could tell by his",accent,Accent,clothes,56,11,E,NA,accent,NA,NA,NA,NA
1750874407,13,code_switching,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their",names,Names,Grades,68,11,E,NA,names,NA,NA,NA,NA
1750874407,46,English,The man downstairs played his stereo much too,loud.,,,45,8,E,NA,loud,NA,NA,NA,NA
1750874407,16,English,I didn't like the show so I changed the,channel.,,,39,9,E,NA,channel,NA,NA,NA,NA
1750874407,29,code_switching,"Wenn du ins Bett gehst, turn off the",light,Lights,Sarcasm,36,8,E,NA,light,NA,NA,NA,NA
1750874407,28,English,Be careful because the top of the stove is very,hot,,,48,10,E,NA,hot,NA,NA,NA,NA
1750874407,42,English,Everyone was honking at the old man who was driving too,slowly,,,55,11,E,NA,slowly,NA,NA,NA,NA
1750874407,15,code_switching,Man kann die Tür nicht öffnen with the wrong,key,Key,attitude,44,9,E,NA,key,NA,NA,NA,NA
1750874407,21,code_switching,Sie sahen den Blitz and clearly heard the,thunder,Thunder,screams,41,8,E,NA,thunder,NA,NA,NA,NA
1750874407,2,English,"In caring for hospitalized patients, a doctor often needs the help of a",nurse.,,,71,13,E,NA,nurse,NA,NA,NA,NA
1750874407,36,English,The schools closed down because the teachers decided to go on,strike,,,61,11,E,NA,strike,NA,NA,NA,NA
1750874407,NA,code_switching,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their",stripes.,NA,NA,NA,NA,E,NA,stripes,NA,NA,NA,NA
1750874407,35,code_switching,Die junge Mutter aus der Nachbarschaft fütterte her baby some warm,milk,Milk,peas,66,11,E,NA,milk,NA,NA,NA,NA
1750874407,22,English,She had to leave the movie when the baby started to,cry.,,,51,11,E,NA,cry,NA,NA,NA,NA
1750874407,25,code_switching,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken",glass,Glass,Toys,82,13,E,NA,glass,NA,NA,NA,NA
1750874407,30,English,Paul painted the clown's suit blue and gave him a big red,nose.,,,57,12,E,NA,nose,NA,NA,NA,NA
1750874407,47,code_switching,Die Jungen spielten Murmeln and the girls jumped,rope,Rope,together,48,8,E,NA,rope,NA,NA,NA,NA
1750874407,23,code_switching,"Ich begrüßte ihn, aber I could not remember his",name,Name,song,47,9,E,NA,name,NA,NA,NA,NA
1750874407,48,English,The surfer from Hawaii fell off his surfboard after the first big,wave,,,65,12,E,NA,wave,NA,NA,NA,NA
1750874407,19,code_switching,Ein Hund in guter Gesundheit has a good sense of,smell,Smell,loyalty,48,10,E,NA,smell,NA,NA,NA,NA
1750874407,NA,code_switching,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't",forget,NA,NA,NA,NA,E,NA,forget,NA,NA,NA,NA
1750874407,1,code_switching,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",paper,Paper,Chalk,87,15,E,NA,paper,NA,NA,NA,NA
1750874407,26,English,The rude waiter in the restaurant was not given a,tip.,,,49,10,E,NA,tip,NA,NA,NA,NA
1750874407,31,code_switching,Bill sprang in den See and made a big,splash.,Splash (?),commotion,37,9,E,NA,splash,NA,NA,NA,NA
1750874407,20,English,Most people in our country spend December 25th with their,family,,,57,10,E,NA,family,NA,NA,NA,NA
1750874407,10,English,The groom took the bride's hand and placed the ring on her,finger.,,,58,12,E,NA,finger,NA,NA,NA,NA
1750874407,43,code_switching,Keine seiner Geschichten made any real,sense.,Sense,fans,38,6,E,NA,sense,NA,NA,NA,NA
1750874407,33,code_switching,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the",night,Night,game,66,13,E,NA,night,NA,NA,NA,NA
1750874407,3,code_switching,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a",fork,Fork,Napkin,113,20,E,NA,fork,NA,NA,NA,NA
1750875716,49,code_switching,Tim warf einen Stein and broke the,window,Window,Camera,34,7,E,NA,window,NA,NA,NA,NA
1750875716,77,code_switching,Phil nutzte die Pipette und tat einige drops in his,glass,Eyes,fishtank,51,10,E,NA,glass,NA,NA,NA,NA
1750875716,80,English,Shuffle the cards thoroughly before you,deal.,,,39,6,E,NA,deal,NA,NA,NA,NA
1750875716,66,English,The white seagull dove down and caught a,fish,,,40,8,E,NA,fish,NA,NA,NA,NA
1750875716,85,code_switching,Die Bauarbeiterin hatte sehr muskulöse Arme bekommen from unloading cement from the,truck.,Truck,Dock,83,12,E,NA,truck,NA,NA,NA,NA
1750875716,53,code_switching,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft",music,Music,Slippers,66,13,E,NA,music,NA,NA,NA,NA
1750875716,54,English,The ship with the white sails disappeared into the thick,mist,,,56,10,E,NA,mist,NA,NA,NA,NA
1750875716,83,code_switching,Die Mieter entschieden sich nach weiter steigenden Mietpreisen to take their landlord to,court,Court,breakfast,89,13,E,NA,court,NA,NA,NA,NA
1750875716,74,English,He settled for German wine because the imported stuff was too,expensive.,,,61,11,E,NA,expensive,NA,NA,NA,NA
1750875716,93,code_switching,An heißen Tagen sonnen sich viele Leute on the nearest,beach.,Beach,roof,54,10,E,NA,beach,NA,NA,NA,NA
1750875716,59,code_switching,"Rachel liebt den Geruch von Tabak, but she can't stand all the",smoke.,Smoke,lectures,62,12,E,NA,smoke,NA,NA,NA,NA
1750875716,61,code_switching,Das Eichhörnchen versteckte ein paar Nüsse in the big,tree,Tree,basement,53,9,E,NA,tree,NA,NA,NA,NA
1750875716,90,English,"It's raining, and I forgot everything: my coat, hat, and",umbrella.,,,56,10,E,NA,umbrella,NA,NA,NA,NA
1750875716,52,English,Cold damp weather makes her joints ache so she took some aspirin for the,pain,,,72,14,E,NA,pain,NA,NA,NA,NA
1750875716,62,English,Every morning before school his mother laid out his clothes and packed his,lunch,,,74,13,E,NA,lunch,NA,NA,NA,NA
1750875716,68,English,He was cold most of the night and finally got up to get another,blanket,,,63,14,E,NA,blanket,NA,NA,NA,NA
1750875716,76,English,His skin was bright red from spending time at the,beach,,,49,10,E,NA,beach,NA,NA,NA,NA
1750875716,91,code_switching,Ich ließ mir vor kurzem eine neue Musikanlage einbauen in my brand new,home,Car,Office,70,13,E,NA,home,NA,NA,NA,NA
1750875716,72,English,"At the end of the trip, Pam had no more clothes to",pack.,,,50,12,E,NA,pack,NA,NA,NA,NA
1750875716,65,code_switching,"Katzen lieben es, gekrault zu werden behind the",ears,Ears,Collar,47,8,E,NA,ears,NA,NA,NA,NA
1750875716,86,English,It was important for him to be on,time.,,,33,8,E,NA,time,NA,NA,NA,NA
1750875716,57,code_switching,Er kaufte ihr eine Perlenkette for her,gift,Birthday,collection,38,7,E,NA,gift,NA,NA,NA,NA
1750875716,96,English,"After dinner, they spent a long time over coffee just",talking,,,53,10,E,NA,talking,NA,NA,NA,NA
1750875716,88,English,Our long-awaited guests should be arriving,soon,,,42,6,E,NA,soon,NA,NA,NA,NA
1750875716,55,code_switching,"Ron kaufte ein Brett für das Fenster, das zu lang war, und dann kaufte er eins, that was way too",short,Short,Ugly,96,20,E,NA,short,NA,NA,NA,NA
1750875716,63,code_switching,"Er kündigte seinen Job und verließ seine Familie, so he could sail around the",world.,World,Clock,77,14,E,NA,world,NA,NA,NA,NA
1750875716,75,code_switching,"Simon denkt, dass es ok ist, sich laute Musik anzuhören, even if his door is",neighbor,Open,broken,76,15,E,NA,neighbor,NA,NA,NA,NA
1750875716,67,code_switching,John fegte den Boden with a long,brush,Broom,flourish,32,7,E,NA,brush,NA,NA,NA,NA
1750875716,50,English,Steve spilled coffee all over his white,shirt,,,39,7,E,NA,shirt,NA,NA,NA,NA
1750875716,56,English,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",coat,,,94,16,E,NA,coat,NA,NA,NA,NA
1750875716,79,code_switching,Sharon trocknete die Schüsseln with a big,towel.,Towel,sigh,41,7,E,NA,towel,NA,NA,NA,NA
1750875716,95,code_switching,Es ist schwer zuzugeben when one is,loses,Wrong,scared,35,7,E,NA,loses,NA,NA,NA,NA
1750875716,64,English,"In any case, don't touch the sticky wet",mess.,,,39,8,E,NA,mess,NA,NA,NA,NA
1750875716,71,code_switching,Es gab bunte Bilder on every single,wall,Wall,Card,35,7,E,NA,wall,NA,NA,NA,NA
1750875716,87,code_switching,Die Katze lag gerne curled up in Jill's,armchair.,Lap,Hamper,40,8,E,NA,armchair,NA,NA,NA,NA
1750875716,58,English,The young man in the park must keep his pet on a,leash,,,48,12,E,NA,leash,NA,NA,NA,NA
1750875716,82,English,The child cried continuously and upset her,mother,,,42,7,E,NA,mother,NA,NA,NA,NA
1750875716,NA,code_switching,"Anfangs lehnte der Junge es ab, aber eventually he changed his",mind.,NA,NA,NA,NA,E,NA,mind,NA,NA,NA,NA
1750875716,94,English,He liked lemon and sugar in his hot,chocolate,,,35,8,E,NA,chocolate,NA,NA,NA,NA
1750875716,84,English,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare",key,,,105,21,E,NA,key,NA,NA,NA,NA
1750875716,92,English,The movers seemed to take great delight in tossing the boxes marked,*upstairs*,,,67,12,E,NA,upstairs,NA,NA,NA,NA
1750875716,60,English,He had just enough time to buy a cake from the store and change his clothes before the guests,arrived,,,93,19,E,NA,arrived,NA,NA,NA,NA
1750875716,51,code_switching,"Er entschied sich, im Iran zu reisen, obwohl er wusste, it could be",dangerous,Dangerous,Expensive,67,13,E,NA,dangerous,NA,NA,NA,NA
1750875716,89,code_switching,Jede Nacht um Mitternacht machten the boy scouts a huge,fire,Fire,Igloo,55,10,E,NA,fire,NA,NA,NA,NA
1750875716,73,code_switching,Sie züchteten Schweine on their,farm,Farm,own,31,5,E,NA,farm,NA,NA,NA,NA
1750875716,78,English,The colonel wished the sergeant would treat his command not as a polite request but as a direct,order,,,95,18,E,NA,order,NA,NA,NA,NA
1750875716,70,English,Rafael wants to preserve the forest by guarding every,tree,,,54,9,E,NA,tree,NA,NA,NA,NA
1750875716,81,code_switching,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very",sharp,Sharp,heavy,76,12,E,NA,sharp,NA,NA,NA,NA
1750875995,2,English,"In caring for hospitalized patients, a doctor often needs the help of a",nurse.,,,71,13,E,NA,nurse,NA,NA,NA,NA
1750875995,22,English,She had to leave the movie when the baby started to,cry.,,,51,11,E,NA,cry,NA,NA,NA,NA
1750875995,NA,code_switching,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their",stripes.,NA,NA,NA,NA,E,NA,stripes,NA,NA,NA,NA
1750875995,4,English,The little girl refused to go to sleep until he told her a,story.,,,58,13,E,NA,story,NA,NA,NA,NA
1750875995,29,code_switching,"Wenn du ins Bett gehst, turn off the",light,Lights,Sarcasm,36,8,E,NA,light,NA,NA,NA,NA
1750875995,3,code_switching,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a",fork,Fork,Napkin,113,20,E,NA,fork,NA,NA,NA,NA
1750875995,NA,code_switching,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to",fall.,NA,NA,NA,NA,E,NA,fall,NA,NA,NA,NA
1750875995,6,English,The inmates in prison were planning their,escape.,,,41,7,E,NA,escape,NA,NA,NA,NA
1750875995,1,code_switching,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",pen,Paper,Chalk,87,15,E,NA,pen,NA,NA,NA,NA
1750875995,33,code_switching,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the",night,Night,game,66,13,E,NA,night,NA,NA,NA,NA
1750875995,47,code_switching,Die Jungen spielten Murmeln and the girls jumped,rope,Rope,together,48,8,E,NA,rope,NA,NA,NA,NA
1750875995,13,code_switching,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their",names,Names,Grades,68,11,E,NA,names,NA,NA,NA,NA
1750875995,9,code_switching,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,school,School,Success,83,14,E,NA,school,NA,NA,NA,NA
1750875995,41,code_switching,Die meisten Haiangriffe passieren very close to,shore,Shore,winter,47,7,E,NA,shore,NA,NA,NA,NA
1750875995,19,code_switching,Ein Hund in guter Gesundheit has a good sense of,smell.,Smell,loyalty,48,10,E,NA,smell,NA,NA,NA,NA
1750875995,16,English,I didn't like the show so I changed the,channel.,,,39,9,E,NA,channel,NA,NA,NA,NA
1750875995,44,English,The office secretary mailed the letter without a,stamp,,,48,8,E,NA,stamp,NA,NA,NA,NA
1750875995,23,code_switching,"Ich begrüßte ihn, aber I could not remember his",name,Name,song,47,9,E,NA,name,NA,NA,NA,NA
1750875995,17,code_switching,"Als der Strom ausfiel, sahen wir nichts mehr and the house became",dark,Dark,Cold,65,12,E,NA,dark,NA,NA,NA,NA
1750875995,NA,code_switching,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't",forget,NA,NA,NA,NA,E,NA,forget,NA,NA,NA,NA
1750875995,28,English,Be careful because the top of the stove is very,hot,,,48,10,E,NA,hot,NA,NA,NA,NA
1750875995,42,English,Everyone was honking at the old man who was driving too,slowly,,,55,11,E,NA,slowly,NA,NA,NA,NA
1750875995,20,English,Most people in our country spend December 25th with their,family,,,57,10,E,NA,family,NA,NA,NA,NA
1750875995,46,English,The man downstairs played his stereo much too,loud,,,45,8,E,NA,loud,NA,NA,NA,NA
1750875995,37,code_switching,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",coffee,Coffee,Scotch,94,15,E,NA,coffee,NA,NA,NA,NA
1750875995,36,English,The schools closed down because the teachers decided to go on,strike,,,61,11,E,NA,strike,NA,NA,NA,NA
1750875995,11,code_switching,Der Vater in der Küche carved the turkey with a,knife,Knife,smile,47,10,E,NA,knife,NA,NA,NA,NA
1750875995,25,code_switching,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken",glass,Glass,Toys,82,13,E,NA,glass,NA,NA,NA,NA
1750875995,18,English,Alfonso has started biking to work instead of driving his,car,,,57,10,E,NA,car,NA,NA,NA,NA
1750875995,43,code_switching,Keine seiner Geschichten made any real,sense.,Sense,fans,38,6,E,NA,sense,NA,NA,NA,NA
1750875995,27,code_switching,"Dass er aufgewachsen war im Süden, you could tell by his",accent,Accent,clothes,56,11,E,NA,accent,NA,NA,NA,NA
1750875995,45,code_switching,Die Kühe liefen von der Sonne weg into the cool,shade,Shade,mud,47,10,E,NA,shade,NA,NA,NA,NA
1750875995,35,code_switching,Die junge Mutter aus der Nachbarschaft fütterte her baby some warm,milk,Milk,peas,66,11,E,NA,milk,NA,NA,NA,NA
1750875995,34,English,The children from the school across from my house went outside to,play,,,65,12,E,NA,play,NA,NA,NA,NA
1750875995,10,English,The groom took the bride's hand and placed the ring on her,finger.,,,58,12,E,NA,finger,NA,NA,NA,NA
1750875995,12,English,"Mike felt sorry, but it was not his",fault.,,,35,8,E,NA,fault,NA,NA,NA,NA
1750875995,38,English,My roommate from Berlin left the dirty dishes in the,sink.,,,52,10,E,NA,sink,NA,NA,NA,NA
1750875995,24,English,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",phone,,,81,15,E,NA,phone,NA,NA,NA,NA
1750875995,31,code_switching,Bill sprang in den See and made a big,splash.,Splash (?),commotion,37,9,E,NA,splash,NA,NA,NA,NA
1750875995,30,English,Paul painted the clown's suit blue and gave him a big red,nose.,,,57,12,E,NA,nose,NA,NA,NA,NA
1750875995,32,English,The boss of the store where he worked afternoons refused to give him a,raise,,,70,14,E,NA,raise,NA,NA,NA,NA
1750875995,8,English,Marsha knew the guests could remain eating appetizers for at least another,hour,,,75,12,E,NA,hour,NA,NA,NA,NA
1750875995,48,English,The surfer from Hawaii fell off his surfboard after the first big,wave,,,65,12,E,NA,wave,NA,NA,NA,NA
1750875995,26,English,The rude waiter in the restaurant was not given a,tip.,,,49,10,E,NA,tip,NA,NA,NA,NA
1750875995,40,English,The fourth grade math teacher could not see well without her thick,glasses,,,66,12,E,NA,glasses,NA,NA,NA,NA
1750875995,21,code_switching,Sie sahen den Blitz and clearly heard the,thunder,Thunder,screams,41,8,E,NA,thunder,NA,NA,NA,NA
1750875995,14,English,Maria shut the front window and locked the back,door,,,47,9,E,NA,door,NA,NA,NA,NA
1750875995,15,code_switching,Man kann die Tür nicht öffnen with the wrong,key,Key,attitude,44,9,E,NA,key,NA,NA,NA,NA
1750879780,NA,English,"Because Tom wants to go to India and work there for a year, he applies for a",visa,NA,NA,NA,NA,E,NA,visa,NA,NA,NA,NA
1750879780,112,English,"After a warning, the bad boy was sent to his",room.,,,44,10,E,NA,room,NA,NA,NA,NA
1750879780,128,English,"She needed a special charging cable, but could not find it inside her",bag,,,69,13,E,NA,bag,NA,NA,NA,NA
1750879780,98,English,The problem with my friend Paul is that he can't take a,joke.,,,55,12,E,NA,joke,NA,NA,NA,NA
1750879780,108,English,It was drafty because of the cold air leaking in through the door and all the side,window,,,82,17,E,NA,window,NA,NA,NA,NA
1750879780,132,English,She grabbed a big pitcher near the sink and filled it with,water,,,58,12,E,NA,water,NA,NA,NA,NA
1750879780,102,English,He put a new sheet on the clean,bed,,,32,8,E,NA,bed,NA,NA,NA,NA
1750879780,101,code_switching,Vorsichtig platzierte er the violin under his,chest.,Chin,Chair,45,7,E,NA,chest,NA,NA,NA,NA
1750879780,NA,code_switching,"Sie klappt einen großen Wäscheständer auf, to dry the",clothes,NA,NA,NA,NA,E,NA,clothes,NA,NA,NA,NA
1750879780,130,English,He took a new cork screw and opened the,bottle,,,39,9,E,NA,bottle,NA,NA,NA,NA
1750879780,115,code_switching,Das alte Klavier aus Italien was out of,tune,Tune,place,39,8,E,NA,tune,NA,NA,NA,NA
1750879780,NA,code_switching,"Niemand konnte Dan beim Klassentreffen wiedererkennen, because he had grown a",beard,NA,NA,NA,NA,E,NA,beard,NA,NA,NA,NA
1750879780,134,English,He bought a new razor to trim his,beard.,,,33,8,E,NA,beard,NA,NA,NA,NA
1750879780,117,code_switching,Sie zog ihren Kopf unter dem Wasserhahn hervor and reached for a,towel,Towel,Pill,64,12,E,NA,towel,NA,NA,NA,NA
1750879780,109,code_switching,"Tracy und ihr Mann waren nicht katholisch, aber sie war froh, als der Priester welcomed their three",children,Children,Suggestions,99,17,E,NA,children,NA,NA,NA,NA
1750879780,106,English,After dinner they got up and washed the,plates.,,,39,8,E,NA,plates,NA,NA,NA,NA
1750879780,122,English,The house rules did not allow visitors to feed the,pets.,,,51,10,E,NA,pets,NA,NA,NA,NA
1750879780,121,code_switching,Sam konnte nicht glauben dass her story was,fake,TRUE,published,43,8,E,NA,fake,NA,NA,NA,NA
