inner_number,Item,Itemtype,cloze_clean,n,total,cloze_probability,participant
125,"Nachdem der Juwelier gefragt wurde, überprüfte er the ring's huge",code_switching,diamond,26,26,1,claude
126,He always drinks tea in the morning and uses a special filter to catch the loose,English,leaves,26,26,1,claude
126,Morgens trinkt er immer Tee und benutzt ein besonderes Sieb to catch the loose,code_switching,leaves,22,22,1,claude
127,She installed a new anti-virus program and is now convinced that her laptop is,English,safe,22,22,1,claude
127,"Sie hat ein neues Anti-Virus-Programm installiert und ist nun überzeugt davon, that her laptop is",code_switching,safe,19,26,0.7307692307692307,claude
127,"Sie hat ein neues Anti-Virus-Programm installiert und ist nun überzeugt davon, that her laptop is",code_switching,secure,7,26,0.2692307692307692,claude
128,"She needed a special charging cable, but could not find it inside her",English,purse,26,26,1,claude
128,"Sie brauchte ein bestimmtes Ladekabel, aber could not find it inside her",code_switching,purse,22,22,1,claude
129,Er nahm sich einen kleinen Taschenrechner und typed in some,code_switching,numbers,26,26,1,claude
129,He took a small pocket calculator and typed in some,English,numbers,22,22,1,claude
13,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their",code_switching,names,19,19,1,claude
13,The teacher saw that some students were cheating and wrote down their,English,names,18,18,1,claude
130,Er holt einen neuen Korkenzieher and opened the,code_switching,bottle,22,22,1,claude
130,He took a new cork screw and opened the,English,bottle,26,26,1,claude
131,He folded out a big drying rack to dry the,English,laundry,22,22,1,claude
132,She grabbed a big pitcher near the sink and filled it with,English,water,26,26,1,claude
132,Sie schnappte sich am Waschbecken eine große Kanne and filled it with,code_switching,water,22,22,1,claude
133,Er leiht sich von Petra eine gute Fahrradpumpe to inflate the,code_switching,tire,26,26,1,claude
133,He borrowed a good bicycle pump from Petra to inflate the,English,tire,22,22,1,claude
134,Er kaufte sich einen neuen Rasierer to trim his,code_switching,beard,22,22,1,claude
134,He bought a new razor to trim his,English,beard,26,26,1,claude
135,Er nahm sich ein neues Taschentuch to wipe his,code_switching,nose,26,26,1,claude
135,He got out a clean tissue to wipe his,English,nose,22,22,1,claude
136,"When he got older, he got himself a pair of new reading glasses to read the",English,newspaper,26,26,1,claude
137,Im Supermarkt nahm er sich einen großen Einkaufswagen und started filling it with,code_switching,groceries,26,26,1,claude
137,In the supermarket he took a big shopping cart and started filling it with,English,groceries,22,22,1,claude
138,She needs a custom-made wheel chair with an electric,English,motor,26,26,1,claude
138,Sie braucht einen maßgefertigten Rollstuhl with an electric,code_switching,motor,22,22,1,claude
139,Sie nahm beim Backen ein Sieb und verteilte den powdered sugar over the,code_switching,cake,26,26,1,claude
139,"While baking, she took a sifter and sprinkled the powdered sugar over the",English,cake,22,22,1,claude
14,Maria schloss das Fenster vorne and locked the back,code_switching,door,18,18,1,claude
14,Maria shut the front window and locked the back,English,door,19,19,1,claude
140,She took her new pen to take some,English,notes,26,26,1,claude
140,Sie nahm sich einen neuen Stift to take some,code_switching,notes,22,22,1,claude
141,Das Mädchen holte sich einen luxuriösen Fön and dried her,code_switching,hair,26,26,1,claude
141,The girl got herself a fancy blowdryer and dried her,English,hair,22,22,1,claude
142,"In order to examine the unusual bacterium carefully, the biologist bought a more powerful",English,microscope,26,26,1,claude
143,"Since the wooden garden chair had a hard seat, Karen fetched a soft, fluffy",English,pillow,22,22,1,claude
15,Man kann die Tür nicht öffnen with the wrong,code_switching,key,19,19,1,claude
15,You can't open the door with the wrong,English,key,18,18,1,claude
16,I didn't like the show so I changed the,English,channel,19,19,1,claude
16,Mir hat die Show nicht gefallen so I changed the,code_switching,channel,18,18,1,claude
17,"Als der Strom ausfiel, sahen wir nichts mehr and the house became",code_switching,dark,19,19,1,claude
17,When the power went out we couldn't see anything and the house became,English,dark,18,18,1,claude
18,Alfonso has started biking to work instead of driving his,English,car,19,19,1,claude
18,"Alfonso hat angefangen, mit dem Fahrrad zur Arbeit zu fahren, instead of driving his",code_switching,car,18,18,1,claude
19,A dog in good health has a good sense of,English,smell,18,18,1,claude
19,Ein Hund in guter Gesundheit has a good sense of,code_switching,smell,19,19,1,claude
2,"In caring for hospitalized patients, a doctor often needs the help of a",English,nurse,19,19,1,claude
20,Die meisten Menschen in unserem Land spend December 25th with their,code_switching,families,18,18,1,claude
20,Most people in our country spend December 25th with their,English,families,19,19,1,claude
21,Sie sahen den Blitz and clearly heard the,code_switching,thunder,19,19,1,claude
21,They saw the lightening and clearly heard the,English,thunder,18,18,1,claude
22,She had to leave the movie when the baby started to,English,cry,19,19,1,claude
22,"Sie musste den Film verlassen, denn the baby started to",code_switching,cry,18,18,1,claude
23,"I greeted him, but I could not remember his",English,name,18,18,1,claude
23,"Ich begrüßte ihn, aber I could not remember his",code_switching,name,19,19,1,claude
24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",English,phone,19,19,1,claude
24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the",code_switching,phone,18,18,1,claude
25,"After the hurricane shattered the window, the room was filled with broken",English,glass,18,18,1,claude
25,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken",code_switching,glass,19,19,1,claude
26,Der unhöfliche Kellner im Restaurant was not given a,code_switching,tip,18,18,1,claude
26,The rude waiter in the restaurant was not given a,English,tip,19,19,1,claude
27,"Dass er aufgewachsen war im Süden, you could tell by his",code_switching,accent,19,19,1,claude
27,That he had grown up in the South you could tell by his,English,accent,18,18,1,claude
28,Be careful because the top of the stove is very,English,hot,19,19,1,claude
29,"Wenn du ins Bett gehst, turn off the",code_switching,lights,19,19,1,claude
29,When you go to bed turn off the,English,light,18,18,1,claude
3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",English,fork,18,18,1,claude
3,"Nachdem er bemerkte, dass er das Besteck für seinen Salat vergessen hatte, ging der Kunde zurück to get himself a",code_switching,fork,19,19,1,claude
30,Paul malte den Anzug des Clowns blau und gab him a big red,code_switching,nose,18,18,1,claude
30,Paul painted the clown's suit blue and gave him a big red,English,nose,19,19,1,claude
31,Bill jumped in the lake and made a big,English,splash,18,18,1,claude
31,Bill sprang in den See and made a big,code_switching,splash,19,19,1,claude
32,"Sein Chef in der Firma, in der er nachmittags arbeitet, refused to give him a",code_switching,raise,18,18,1,claude
32,The boss of the store where he worked afternoons refused to give him a,English,raise,19,19,1,claude
33,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the",code_switching,night,19,19,1,claude
33,"He knew that he could call Chris, even in the middle of the",English,night,18,18,1,claude
34,Die Kinder der Schule vor meinem Haus went outside to,code_switching,play,18,18,1,claude
34,The children from the school across from my house went outside to,English,play,19,19,1,claude
35,Die junge Mutter aus der Nachbarschaft fütterte her baby some warm,code_switching,milk,19,19,1,claude
35,The young mother in the neighborhood fed her baby some warm,English,milk,18,18,1,claude
36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on",code_switching,strike,18,18,1,claude
36,The schools closed down because the teachers decided to go on,English,strike,19,19,1,claude
37,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of",code_switching,coffee,19,19,1,claude
37,"Within minutes of arriving at the office, the detective spilled his thermos full of",English,coffee,18,18,1,claude
38,Mein Mitbewohner aus Berlin ließ the dirty dishes in the,code_switching,sink,18,18,1,claude
38,My roommate from Berlin left the dirty dishes in the,English,sink,19,19,1,claude
39,Richard was afraid to walk near the edge of the cliff because he was afraid to,English,fall,18,18,1,claude
4,"Das kleine Mädchen weigerte sich, schlafen zu gehen, until he told her a",code_switching,story,18,18,1,claude
4,The little girl refused to go to sleep until he told her a,English,story,19,19,1,claude
40,Die Mathelehrerin der vierten Klasse konnte nicht gut sehen without her thick,code_switching,glasses,18,18,1,claude
40,The fourth grade math teacher could not see well without her thick,English,glasses,19,19,1,claude
41,Die meisten Haiangriffe passieren very close to,code_switching,shore,19,19,1,claude
41,Most shark attacks occur very close to,English,shore,18,18,1,claude
42,Alle hupten den alten Mann an who was driving too,code_switching,slow,18,18,1,claude
42,Everyone was honking at the old man who was driving too,English,slow,19,19,1,claude
43,Keine seiner Geschichten made any real,code_switching,sense,19,19,1,claude
43,None of his stories made any real,English,sense,18,18,1,claude
44,Der Sekretär des Büros schickte the letter without a,code_switching,stamp,18,18,1,claude
44,The office secretary mailed the letter without a,English,stamp,19,19,1,claude
45,Die Kühe liefen von der Sonne weg into the cool,code_switching,barn,19,19,1,claude
45,The cows moved from the sun into the cool,English,shade,18,18,1,claude
46,Der Mann nebenan spielte his stereo much too,code_switching,loud,18,18,1,claude
46,The man downstairs played his stereo much too,English,loud,19,19,1,claude
47,Die Jungen spielten Murmeln and the girls jumped,code_switching,rope,19,19,1,claude
47,The boys played marbles and the girls jumped,English,rope,18,18,1,claude
48,Der Surfer aus Hawaii fiel von seinem Surfboard after the first big,code_switching,wave,18,18,1,claude
48,The surfer from Hawaii fell off his surfboard after the first big,English,wave,19,19,1,claude
49,Tim threw a rock and broke the,English,window,18,18,1,claude
49,Tim warf einen Stein and broke the,code_switching,window,17,17,1,claude
5,He wrote himself a note so that he wouldn't,English,forget,18,18,1,claude
50,Steve spilled coffee all over his white,English,shirt,17,17,1,claude
50,Steve verschüttete Kaffee all over his white,code_switching,shirt,18,18,1,claude
51,"Er entschied sich, im Iran zu reisen, obwohl er wusste, it could be",code_switching,dangerous,17,17,1,claude
51,He decided to travel to Iran even though he knew it could be,English,dangerous,18,18,1,claude
52,Cold damp weather makes her joints ache so she took some aspirin for the,English,pain,17,17,1,claude
52,"Kalte, feuchte Witterung lässt ihre Gelenke schmerzen, deshalb nahm sie some aspirin for the",code_switching,pain,18,18,1,claude
53,"Before she arrived, he opened a bottle of wine and put on some soft",English,music,18,18,1,claude
53,"Bevor sie ankam, öffnete er eine Flasche Wein and put on some soft",code_switching,music,17,17,1,claude
54,Das Schiff mit den weißen Segeln verschwand into the thick,code_switching,fog,18,18,1,claude
54,The ship with the white sails disappeared into the thick,English,fog,17,17,1,claude
55,Ron bought a board for the window that was too long and then he bought one that was way too,English,short,18,18,1,claude
55,"Ron kaufte ein Brett für das Fenster, das zu lang war, und dann kaufte er eins, that was way too",code_switching,short,17,17,1,claude
56,"Als das Wetter wärmer wurde, begann Mark, seine leichtere Jacke zu tragen, und zwar nicht his heavy winter",code_switching,coat,18,18,1,claude
56,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",English,coat,17,17,1,claude
57,Er kaufte ihr eine Perlenkette for her,code_switching,birthday,17,17,1,claude
57,He bought her a pearl necklace for her,English,birthday,18,18,1,claude
58,Der junge Mann im Park must keep his pet on a,code_switching,leash,18,18,1,claude
58,The young man in the park must keep his pet on a,English,leash,17,17,1,claude
59,"Rachel liebt den Geruch von Tabak, but she can't stand all the",code_switching,smoke,17,17,1,claude
59,Rachel loves the smell of tobacco but she can't stand all the,English,smoke,18,18,1,claude
6,Die Häftlinge im Gefängnis were planning their,code_switching,escape,18,18,1,claude
6,The inmates in prison were planning their,English,escape,19,19,1,claude
60,"Er hatte gerade genug Zeit, einen Kuchen zu kaufen und sich umzuziehen before the guests",code_switching,arrived,18,18,1,claude
60,He had just enough time to buy a cake from the store and change his clothes before the guests,English,arrived,17,17,1,claude
61,Das Eichhörnchen versteckte ein paar Nüsse in the big,code_switching,tree,17,17,1,claude
61,The squirrel stored some nuts in the big,English,tree,18,18,1,claude
62,Every morning before school his mother laid out his clothes and packed his,English,lunch,17,17,1,claude
62,Jeden morgen vor der Schule legte seine Mutter seine Kleidung raus and packed his,code_switching,lunch,18,18,1,claude
63,"Er kündigte seinen Job und verließ seine Familie, so he could sail around the",code_switching,world,17,17,1,claude
63,He quit his job and left his family so that he could sail around the,English,world,18,18,1,claude
64,Berühre auf gar keinen Fall the sticky wet,code_switching,paint,18,18,1,claude
64,"In any case, don't touch the sticky wet",English,paint,17,17,1,claude
65,Cats loved to be scratched behind the,English,ears,18,18,1,claude
65,"Katzen lieben es, gekrault zu werden behind the",code_switching,ears,17,17,1,claude
66,Die weiße Möve tauchte ab and caught a,code_switching,fish,18,18,1,claude
66,The white seagull dove down and caught a,English,fish,17,17,1,claude
67,John fegte den Boden with a long,code_switching,broom,17,17,1,claude
67,John swept the floor with a long,English,broom,18,18,1,claude
68,He was cold most of the night and finally got up to get another,English,blanket,17,17,1,claude
68,"Ihm war die ganze Nacht kalt, bis er schließlich aufstand to get another",code_switching,blanket,18,18,1,claude
69,"At first the boy refused, but eventually he changed his",English,mind,18,18,1,claude
7,Giraffes are known for their long necks and zebras for their,English,stripes,18,18,1,claude
70,Rafael möchte den Wald schützen by guarding every,code_switching,tree,18,18,1,claude
70,Rafael wants to preserve the forest by guarding every,English,tree,17,17,1,claude
71,Es gab bunte Bilder on every single,code_switching,page,17,17,1,claude
71,There were colorful pictures on every single,English,page,18,18,1,claude
72,"At the end of the trip, Pam had no more clothes to",English,wear,17,17,1,claude
72,Pam hatte am Ende der Reise no more clothes to,code_switching,wear,18,18,1,claude
73,Sie züchteten Schweine on their,code_switching,farm,17,17,1,claude
73,They raised pigs on their,English,farm,18,18,1,claude
74,Er entschied sich für deutschen Wein because the imported stuff was too,code_switching,expensive,18,18,1,claude
74,He settled for German wine because the imported stuff was too,English,expensive,17,17,1,claude
75,"Simon denkt, dass es ok ist, sich laute Musik anzuhören, even if his door is",code_switching,open,17,17,1,claude
75,Simon thinks it's ok to listen to loud music even if his door is,English,open,18,18,1,claude
76,His skin was bright red from spending time at the,English,beach,17,17,1,claude
76,Seine Haut war knallrot from spending time at the,code_switching,beach,18,18,1,claude
77,Phil nutzte die Pipette und tat einige drops in his,code_switching,eye,17,17,1,claude
77,Phil used the dropper to put some drops in his,English,eyes,18,18,1,claude
78,"Der Oberst wünschte sich der Feldwebel würde seine Befehle nicht als höfliche Bitte wahrnehmen, but as a direct",code_switching,order,18,18,1,claude
78,The colonel wished the sergeant would treat his command not as a polite request but as a direct,English,order,17,17,1,claude
79,Sharon dried the bowls with a big,English,towel,18,18,1,claude
79,Sharon trocknete die Schüsseln with a big,code_switching,towel,17,17,1,claude
8,Marsha knew the guests could remain eating appetizers for at least another,English,hour,19,19,1,claude
80,Misch die Karten thoroughly before you,code_switching,deal,18,18,1,claude
80,Shuffle the cards thoroughly before you,English,deal,17,17,1,claude
81,"Esther dachte nicht, dass das Schwert gefährlich war, because it wasn't very",code_switching,sharp,17,17,1,claude
81,Esther didn't think the sword was dangerous because it wasn't very,English,sharp,18,18,1,claude
82,Das Kleinkind schrie ununterbrochen and upset her,code_switching,mother,18,18,1,claude
82,The child cried continuously and upset her,English,mother,17,17,1,claude
83,Die Mieter entschieden sich nach weiter steigenden Mietpreisen to take their landlord to,code_switching,court,17,17,1,claude
84,"Als George nicht in sein Auto kam, kniete er sich hin und suchte under the bumper for the spare",code_switching,key,18,18,1,claude
84,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare",English,key,17,17,1,claude
85,Die Bauarbeiterin hatte sehr muskulöse Arme bekommen from unloading cement from the,code_switching,truck,17,17,1,claude
85,The construction worker had developed very powerful arms from unloading cement from the,English,truck,18,18,1,claude
86,Es war ihr immer wichtig to be on,code_switching,time,18,18,1,claude
86,It was important for him to be on,English,time,17,17,1,claude
87,Die Katze lag gerne curled up in Jill's,code_switching,lap,17,17,1,claude
87,The cat liked to curl up in Jill's,English,lap,18,18,1,claude
88,Our long-awaited guests should be arriving,English,soon,17,17,1,claude
88,Unsere lang erwarteten Gäste should be arriving,code_switching,soon,18,18,1,claude
89,Each night at midnight the boy scouts built a huge,English,bonfire,18,18,1,claude
89,Jede Nacht um Mitternacht machten the boy scouts a huge,code_switching,bonfire,17,17,1,claude
9,Every morning Susan braids her little daughter's hair and helps her dress for,English,school,18,18,1,claude
9,Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for,code_switching,school,19,19,1,claude
90,"Es regnet und ich habe alles vergessen: my coat, hat, and",code_switching,umbrella,18,18,1,claude
90,"It's raining, and I forgot everything: my coat, hat, and",English,umbrella,17,17,1,claude
91,I just had a new sound system installed in my brand new,English,car,18,18,1,claude
91,Ich ließ mir vor kurzem eine neue Musikanlage einbauen in my brand new,code_switching,car,17,17,1,claude
92,"Die Umzugsleute schienen es sehr zu genießen, to toss the boxes marked",code_switching,fragile,18,18,1,claude
92,The movers seemed to take great delight in tossing the boxes marked,English,fragile,17,17,1,claude
93,An heißen Tagen sonnen sich viele Leute on the nearest,code_switching,beach,17,17,1,claude
93,"On hot days, many people sun themselves on the nearest",English,beach,18,18,1,claude
94,Er mochte Zitrone und Zucker in his hot,code_switching,tea,18,18,1,claude
94,He liked lemon and sugar in his hot,English,tea,17,17,1,claude
95,Es ist schwer zuzugeben when one is,code_switching,wrong,17,17,1,claude
95,It's hard to admit when one is,English,wrong,18,18,1,claude
96,"After dinner, they spent a long time over coffee just",English,talking,17,17,1,claude
96,Nach dem Abendessen verbrachten sie viel Zeit over coffee just,code_switching,chatting,11,18,0.6111111111111112,claude
96,Nach dem Abendessen verbrachten sie viel Zeit over coffee just,code_switching,talking,7,18,0.3888888888888889,claude
97,The organic fertilizer helped enrich the,English,soil,22,22,1,claude
98,Das Problem mit meinem Freund Paul ist that he can't take a,code_switching,joke,22,22,1,claude
98,The problem with my friend Paul is that he can't take a,English,joke,26,26,1,claude
99,Die zwei Räuber trugen Waffen but they didn't,code_switching,shoot,26,26,1,claude
99,The two robbers carried guns but didn't,English,shoot,22,22,1,claude
NA,"After the rents went up again, the tenants decided to take their landlord to",English,court,18,18,1,claude
NA,"Anfangs lehnte der Junge es ab, aber eventually he changed his",code_switching,mind,17,17,1,claude
NA,"Because Tom wants to go to India and work there for a year, he applies for a",English,visa,26,26,1,claude
NA,"Bei der Versorgung von hospitalisierten Patienten, benötigt ein Artz oft the help of a",code_switching,nurse,18,18,1,claude
NA,"Da der hölzerne Gartenstuhl eine harte Sitzfläche hatte, holte Karen a soft, fluffy",code_switching,pillow,26,26,1,claude
NA,"Er besorgt sich im Alter eine neue Lesebrille, to read the",code_switching,newspaper,22,22,1,claude
NA,"Er hat sich selbst eine Notiz geschrieben, so that he wouldn't",code_switching,forget,19,19,1,claude
NA,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their",code_switching,stripes,19,19,1,claude
NA,"Marsha wusste, dass die Gäste noch weiter Appetithäppchen essen könnten, und zwar for at least another",code_switching,hour,18,18,1,claude
NA,"Niemand konnte Dan beim Klassentreffen wiedererkennen, because he had grown a",code_switching,beard,26,26,1,claude
NA,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to",code_switching,fall,19,19,1,claude
NA,"Sei vorsichtig, denn der obere Teil of the stove is very",code_switching,hot,18,18,1,claude
NA,"Sie klappt einen großen Wäscheständer auf, to dry the",code_switching,laundry,26,26,1,claude
NA,"Um die ungewöhnliche Bakterie sorgfältig untersuchen zu können, kaufte sich die Biologin a more powerful",code_switching,microscope,22,22,1,claude
NA,"Weil Tom nach Indien gehen und dort ein Jahr arbeiten möchte, he applies for a",code_switching,visa,22,22,1,claude
NA,"When Daniela arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent",English,room,22,22,1,claude
1,Nora couldn't take the message because she didn't have a pencil or a piece of,English,paper,18,18,1,mistral
1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,paper,11,19,0.5789473684210527,mistral
1,"Nora konnte die Nachricht nicht aufschreiben, weil sie keinen Stift hatte or a piece of",code_switching,pen,8,19,0.42105263157894735,mistral
10,Der Bräutigam nahm die Hand der Braut und steckte the ring on her,code_switching,finger,18,18,1,mistral
10,The groom took the bride's hand and placed the ring on her,English,finger,19,19,1,mistral
100,After two hours of hard work they decided to take a short,English,break,26,26,1,mistral
100,"Nach zwei Stunden harter Arbeit entschieden sie, to take a short",code_switching,break,22,22,1,mistral
101,He carefully positioned the violin under his,English,chin,22,22,1,mistral
101,Vorsichtig platzierte er the violin under his,code_switching,arm,3,26,0.11538461538461539,mistral
101,Vorsichtig platzierte er the violin under his,code_switching,chest,23,26,0.8846153846153846,mistral
102,Er legte eine saubere Decke on the clean,code_switching,bed,7,22,0.3181818181818182,mistral
102,Er legte eine saubere Decke on the clean,code_switching,blanket,15,22,0.6818181818181818,mistral
102,He put a new sheet on the clean,English,bed,26,26,1,mistral
103,"Sie entschieden, ein kleines Haus zu kaufen und bauten an addition with two more",code_switching,bedrooms,26,26,1,mistral
103,They decided to buy a small home and built an addition with two more,English,bedrooms,11,22,0.5,mistral
103,They decided to buy a small home and built an addition with two more,English,rooms,11,22,0.5,mistral
104,"Cindy brachte ihrer zweijährigen Tochter bei, dass Bilder quadratisch sind and that the plates are",code_switching,flat,22,22,1,mistral
104,Cindy taught her two-year old that the pictures are square and that the plates are,English,round,26,26,1,mistral
105,"While the national anthem is played, one needs to show respect and everyone is expected to",English,stand,22,22,1,mistral
105,"Während die Nationalhymne läuft, soll man Respekt zeigen and everyone is expected to",code_switching,stand,26,26,1,mistral
106,After dinner they got up and washed the,English,dishes,17,26,0.6538461538461539,mistral
106,After dinner they got up and washed the,English,plates,9,26,0.34615384615384615,mistral
106,Nach dem Abendessen standen sie auf and washed the,code_switching,dishes,22,22,1,mistral
107,After lunch he scraped the cold food from his,English,plate,22,22,1,mistral
107,Er kratzte nach dem Mittagessen the cold food from his,code_switching,plate,26,26,1,mistral
108,"Es gab Durchzug, weil die kalte Luft reinkam durch die Tür and all the side",code_switching,window,22,22,1,mistral
108,It was drafty because of the cold air leaking in through the door and all the side,English,window,26,26,1,mistral
109,"Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three",English,children,22,22,1,mistral
109,"Tracy und ihr Mann waren nicht katholisch, aber sie war froh, als der Priester welcomed their three",code_switching,children,26,26,1,mistral
11,Der Vater in der Küche carved the turkey with a,code_switching,knife,19,19,1,mistral
11,"In the kitchen, Father carved the turkey with a",English,knife,18,18,1,mistral
110,As soon as they reached the sand he stopped to take off his,English,shoes,26,26,1,mistral
110,"Sobald sie am Sand angekommen waren, hielt er an to take off his",code_switching,shoes,22,22,1,mistral
111,Peter malte die Wände der Vogelausstellung blau an to resemble the,code_switching,sky,26,26,1,mistral
111,Peter painted the walls of the bird exhibit light blue to resemble the,English,sky,22,22,1,mistral
112,"After a warning, the bad boy was sent to his",English,room,26,26,1,mistral
112,Nach einer Ermahnung wurde der böse Junge sent to his,code_switching,room,22,22,1,mistral
113,No one at the reunion recognized Dan because he had grown a,English,beard,22,22,1,mistral
114,"After the skiing accident, Randy broke his",English,arm,1,26,0.038461538461538464,mistral
114,"After the skiing accident, Randy broke his",English,leg,25,26,0.9615384615384616,mistral
114,Nach dem Unfall beim Skifahren Randy broke his,code_switching,arm,1,22,0.045454545454545456,mistral
114,Nach dem Unfall beim Skifahren Randy broke his,code_switching,leg,21,22,0.9545454545454546,mistral
115,Das alte Klavier aus Italien was out of,code_switching,tune,26,26,1,mistral
115,The old piano from Italy was out of,English,tune,22,22,1,mistral
116,Das Kind kam auf die Welt with a rare,code_switching,birthmark,22,22,1,mistral
116,The child was born with a rare,English,disease,26,26,1,mistral
117,She pulled her head out from under the faucet and reached for a,English,towel,22,22,1,mistral
