"","inner_number","Item","Itemtype","cloze_clean","n","total","cloze_probability"
"29",6,"The inmates in prison were planning their","English","outbreak",2,19,0.105263157894737
"30",6,"The inmates in prison were planning their","English","plan",1,19,0.0526315789473684
"31",6,"The inmates in prison were planning their","English","program",1,19,0.0526315789473684
"32",7,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their ","code_switching","color",1,19,0.0526315789473684
"33",7,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their ","code_switching","pattern",3,19,0.157894736842105
"34",7,"Giraffen sind für ihre langen Hälse bekannt, and zebras for their ","code_switching","stripes",15,19,0.789473684210526
"35",7,"Giraffes are known for their long necks and zebras for their","English","stripes",18,18,1
"36",8,"Marsha knew the guests could remain eating appetizers for at least another","English","day",1,19,0.0526315789473684
"37",8,"Marsha knew the guests could remain eating appetizers for at least another","English","hour",18,19,0.947368421052632
"38",8,"Marsha wusste, dass die Gäste noch weiter Appetithäppchen essen könnten, und zwar for at least another ","code_switching","hour",17,18,0.944444444444444
"39",8,"Marsha wusste, dass die Gäste noch weiter Appetithäppchen essen könnten, und zwar for at least another ","code_switching","round",1,18,0.0555555555555556
"40",9,"Every morning Susan braids her little daughter's hair and helps her dress for","English","kindergarten",1,18,0.0555555555555556
"41",9,"Every morning Susan braids her little daughter's hair and helps her dress for","English","school",17,18,0.944444444444444
"42",9,"Jeden Morgen flechtet Susan ihrer kleinen Tochter die Haare and helps her dress for","code_switching","school",19,19,1
"43",10,"Der Bräutigam nahm die Hand der Braut und steckte the ring on her","code_switching","finger",18,18,1
"44",10,"The groom took the bride's hand and placed the ring on her","English","finger",18,19,0.947368421052632
"45",10,"The groom took the bride's hand and placed the ring on her","English","hand",1,19,0.0526315789473684
"46",11,"Der Vater in der Küche carved the turkey with a","code_switching","knife",17,19,0.894736842105263
"47",11,"Der Vater in der Küche carved the turkey with a","code_switching","spoon",2,19,0.105263157894737
"48",11,"In the kitchen, Father carved the turkey with a","English","knife",16,18,0.888888888888889
"49",11,"In the kitchen, Father carved the turkey with a","English","spoon",2,18,0.111111111111111
"50",12,"Mike felt sorry, but it was not his","English","fault",16,19,0.842105263157895
"51",12,"Mike felt sorry, but it was not his","English","intention",2,19,0.105263157894737
"52",12,"Mike felt sorry, but it was not his","English","problem",1,19,0.0526315789473684
"53",12,"Mike tat es leid, but it was not his","code_switching","day",2,18,0.111111111111111
"54",12,"Mike tat es leid, but it was not his","code_switching","fault",15,18,0.833333333333333
"55",12,"Mike tat es leid, but it was not his","code_switching","problem",1,18,0.0555555555555556
"56",13,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their","code_switching","action",1,19,0.0526315789473684
"57",13,"Der Lehrer sah, dass einige Schüler schummelten and wrote down their","code_switching","names",18,19,0.947368421052632
"58",13,"The teacher saw that some students were cheating and wrote down their","English","answers",1,18,0.0555555555555556
"59",13,"The teacher saw that some students were cheating and wrote down their","English","grades",1,18,0.0555555555555556
"60",13,"The teacher saw that some students were cheating and wrote down their","English","names",16,18,0.888888888888889
"61",14,"Maria schloss das Fenster vorne and locked the back","code_switching","door",17,18,0.944444444444444
"62",14,"Maria schloss das Fenster vorne and locked the back","code_switching","too",1,18,0.0555555555555556
"63",14,"Maria shut the front window and locked the back","English","door",18,19,0.947368421052632
"64",14,"Maria shut the front window and locked the back","English","off",1,19,0.0526315789473684
"65",15,"Man kann die Tür nicht öffnen with the wrong","code_switching","code",1,19,0.0526315789473684
"66",15,"Man kann die Tür nicht öffnen with the wrong","code_switching","direction",2,19,0.105263157894737
"67",15,"Man kann die Tür nicht öffnen with the wrong","code_switching","grip",1,19,0.0526315789473684
"68",15,"Man kann die Tür nicht öffnen with the wrong","code_switching","key",13,19,0.684210526315789
"69",15,"Man kann die Tür nicht öffnen with the wrong","code_switching","move",1,19,0.0526315789473684
"70",15,"Man kann die Tür nicht öffnen with the wrong","code_switching","technique",1,19,0.0526315789473684
"71",15,"You can't open the door with the wrong","English","hand",1,18,0.0555555555555556
"72",15,"You can't open the door with the wrong","English","handle",1,18,0.0555555555555556
"73",15,"You can't open the door with the wrong","English","key",16,18,0.888888888888889
"74",16,"I didn't like the show so I changed the","English","channel",11,19,0.578947368421053
"75",16,"I didn't like the show so I changed the","English","movie",1,19,0.0526315789473684
"76",16,"I didn't like the show so I changed the","English","music",1,19,0.0526315789473684
"77",16,"I didn't like the show so I changed the","English","plan",1,19,0.0526315789473684
"78",16,"I didn't like the show so I changed the","English","program",1,19,0.0526315789473684
"79",16,"I didn't like the show so I changed the","English","show",2,19,0.105263157894737
"80",16,"I didn't like the show so I changed the","English","title",1,19,0.0526315789473684
"81",16,"I didn't like the show so I changed the","English","view",1,19,0.0526315789473684
"82",16,"Mir hat die Show nicht gefallen so I changed the","code_switching","channel",14,18,0.777777777777778
"83",16,"Mir hat die Show nicht gefallen so I changed the","code_switching","program",3,18,0.166666666666667
"84",16,"Mir hat die Show nicht gefallen so I changed the","code_switching","topic",1,18,0.0555555555555556
"85",17,"Als der Strom ausfiel, sahen wir nichts mehr and the house became","code_switching","dark",19,19,1
"86",17,"When the power went out we couldn't see anything and the house became","English","black",1,18,0.0555555555555556
"87",17,"When the power went out we couldn't see anything and the house became","English","cold",1,18,0.0555555555555556
"88",17,"When the power went out we couldn't see anything and the house became","English","dark",15,18,0.833333333333333
"89",17,"When the power went out we couldn't see anything and the house became","English","spooky",1,18,0.0555555555555556
"90",18,"Alfonso has started biking to work instead of driving his","English","car",19,19,1
"91",18,"Alfonso hat angefangen, mit dem Fahrrad zur Arbeit zu fahren, instead of driving his","code_switching","car",18,18,1
"92",19,"A dog in good health has a good sense of","English","balance",1,18,0.0555555555555556
"93",19,"A dog in good health has a good sense of","English","danger",1,18,0.0555555555555556
"94",19,"A dog in good health has a good sense of","English","humor",3,18,0.166666666666667
"95",19,"A dog in good health has a good sense of","English","people",1,18,0.0555555555555556
"96",19,"A dog in good health has a good sense of","English","smell",11,18,0.611111111111111
"97",19,"A dog in good health has a good sense of","English","space",1,18,0.0555555555555556
"98",19,"Ein Hund in guter Gesundheit has a good sense of","code_switching","danger",1,19,0.0526315789473684
"99",19,"Ein Hund in guter Gesundheit has a good sense of","code_switching","emotions",1,19,0.0526315789473684
"100",19,"Ein Hund in guter Gesundheit has a good sense of","code_switching","humor",4,19,0.210526315789474
"101",19,"Ein Hund in guter Gesundheit has a good sense of","code_switching","orientation",1,19,0.0526315789473684
"102",19,"Ein Hund in guter Gesundheit has a good sense of","code_switching","smell",10,19,0.526315789473684
"103",19,"Ein Hund in guter Gesundheit has a good sense of","code_switching","taste",2,19,0.105263157894737
"104",20,"Die meisten Menschen in unserem Land spend December 25th with their","code_switching","family",18,18,1
"105",20,"Most people in our country spend December 25th with their","English","family",18,19,0.947368421052632
"106",20,"Most people in our country spend December 25th with their","English","loved",1,19,0.0526315789473684
"107",21,"Sie sahen den Blitz and clearly heard the","code_switching","rumble",1,19,0.0526315789473684
"108",21,"Sie sahen den Blitz and clearly heard the","code_switching","thunder",18,19,0.947368421052632
"109",21,"They saw the lightening and clearly heard the","English","noise",1,18,0.0555555555555556
"110",21,"They saw the lightening and clearly heard the","English","thunder",17,18,0.944444444444444
"111",22,"She had to leave the movie when the baby started to","English","cry",18,19,0.947368421052632
"112",22,"She had to leave the movie when the baby started to","English","scream",1,19,0.0526315789473684
"113",22,"Sie musste den Film verlassen, denn the baby started to","code_switching","cry",18,18,1
"114",23,"I greeted him, but I could not remember his","English","names",18,18,1
"115",23,"Ich begrüßte ihn, aber I could not remember his","code_switching","face",1,19,0.0526315789473684
"116",23,"Ich begrüßte ihn, aber I could not remember his","code_switching","names",18,19,0.947368421052632
"117",24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the","English","broom",1,19,0.0526315789473684
"118",24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the","English","call",1,19,0.0526315789473684
"119",24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the","English","door",10,19,0.526315789473684
"120",24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the","English","phone",5,19,0.263157894736842
"121",24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the","English","sound",2,19,0.105263157894737
"122",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","cleaner",1,18,0.0555555555555556
"123",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","dirty",1,18,0.0555555555555556
"124",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","door",8,18,0.444444444444444
"125",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","dust",1,18,0.0555555555555556
"126",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","grime",1,18,0.0555555555555556
"127",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","mail",1,18,0.0555555555555556
"128",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","phone",4,18,0.222222222222222
"129",24,"Obwohl sie es klingeln hörte, war Nancy zu beschäftigt damit, den Kamin zu reinigen, to get the","code_switching","post",1,18,0.0555555555555556
"130",25,"After the hurricane shattered the window, the room was filled with broken","English","glass",17,18,0.944444444444444
"131",25,"After the hurricane shattered the window, the room was filled with broken","English","shards",1,18,0.0555555555555556
"132",25,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken","code_switching","glass",16,19,0.842105263157895
"133",25,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken","code_switching","pieces",1,19,0.0526315789473684
"134",25,"Nachdem der Hurrikan das Fenster zerstört hatte, war das Zimmer filled with broken","code_switching","shards",2,19,0.105263157894737
"135",26,"Der unhöfliche Kellner im Restaurant was not given a","code_switching","fuck",1,18,0.0555555555555556
"136",26,"Der unhöfliche Kellner im Restaurant was not given a","code_switching","tip",17,18,0.944444444444444
"137",26,"The rude waiter in the restaurant was not given a","English","penny",1,19,0.0526315789473684
"138",26,"The rude waiter in the restaurant was not given a","English","tip",18,19,0.947368421052632
"139",27,"Dass er aufgewachsen war im Süden, you could tell by his","code_switching","accent",15,19,0.789473684210526
"140",27,"Dass er aufgewachsen war im Süden, you could tell by his","code_switching","appearance",1,19,0.0526315789473684
"141",27,"Dass er aufgewachsen war im Süden, you could tell by his","code_switching","attitude",1,19,0.0526315789473684
"142",27,"Dass er aufgewachsen war im Süden, you could tell by his","code_switching","look",1,19,0.0526315789473684
"143",27,"Dass er aufgewachsen war im Süden, you could tell by his","code_switching","style",1,19,0.0526315789473684
"144",27,"That he had grown up in the South you could tell by his","English","accent",17,18,0.944444444444444
"145",27,"That he had grown up in the South you could tell by his","English","dialect",1,18,0.0555555555555556
"146",28,"Be careful because the top of the stove is very","English","hot",19,19,1
"147",28,"Sei vorsichtig, denn der obere Teil of the stove is very ","code_switching","complicated",1,18,0.0555555555555556
"148",28,"Sei vorsichtig, denn der obere Teil of the stove is very ","code_switching","dirty",1,18,0.0555555555555556
"149",28,"Sei vorsichtig, denn der obere Teil of the stove is very ","code_switching","hot",14,18,0.777777777777778
"150",28,"Sei vorsichtig, denn der obere Teil of the stove is very ","code_switching","scary",1,18,0.0555555555555556
"151",28,"Sei vorsichtig, denn der obere Teil of the stove is very ","code_switching","unstable",1,18,0.0555555555555556
"152",29,"Wenn du ins Bett gehst, turn off the","code_switching","lights",16,19,0.842105263157895
"153",29,"Wenn du ins Bett gehst, turn off the","code_switching","radio",1,19,0.0526315789473684
"154",29,"Wenn du ins Bett gehst, turn off the","code_switching","tv",2,19,0.105263157894737
"155",29,"When you go to bed turn off the","English","heating",1,18,0.0555555555555556
"156",29,"When you go to bed turn off the","English","lamp",1,18,0.0555555555555556
"157",29,"When you go to bed turn off the","English","lights",16,18,0.888888888888889
"158",30,"Paul malte den Anzug des Clowns blau und gab him a big red","code_switching","nose",18,18,1
"159",30,"Paul painted the clown's suit blue and gave him a big red","English","nose",19,19,1
"160",31,"Bill jumped in the lake and made a big","English","mistake",1,18,0.0555555555555556
"161",31,"Bill jumped in the lake and made a big","English","splash",15,18,0.833333333333333
"162",31,"Bill jumped in the lake and made a big","English","wave",2,18,0.111111111111111
"163",31,"Bill sprang in den See and made a big","code_switching","splash",19,19,1
"164",32,"Sein Chef in der Firma, in der er nachmittags arbeitet, refused to give him a","code_switching","break",1,18,0.0555555555555556
"165",32,"Sein Chef in der Firma, in der er nachmittags arbeitet, refused to give him a","code_switching","check",2,18,0.111111111111111
"166",32,"Sein Chef in der Firma, in der er nachmittags arbeitet, refused to give him a","code_switching","dayoff",1,18,0.0555555555555556
"167",32,"Sein Chef in der Firma, in der er nachmittags arbeitet, refused to give him a","code_switching","raise",14,18,0.777777777777778
"168",32,"The boss of the store where he worked afternoons refused to give him a","English","break",2,19,0.105263157894737
"169",32,"The boss of the store where he worked afternoons refused to give him a","English","pay",1,19,0.0526315789473684
"170",32,"The boss of the store where he worked afternoons refused to give him a","English","paycheck",1,19,0.0526315789473684
"171",32,"The boss of the store where he worked afternoons refused to give him a","English","raise",14,19,0.736842105263158
"172",32,"The boss of the store where he worked afternoons refused to give him a","English","rise",1,19,0.0526315789473684
"173",33,"Er wusste, dass er Chris anrufen konnte, auch in the middle of the","code_switching","night",19,19,1
"174",33,"He knew that he could call Chris, even in the middle of the","English","night",17,18,0.944444444444444
"175",33,"He knew that he could call Chris, even in the middle of the","English","storm",1,18,0.0555555555555556
"176",34,"Die Kinder der Schule vor meinem Haus went outside to","code_switching","play",15,18,0.833333333333333
"177",34,"Die Kinder der Schule vor meinem Haus went outside to","code_switching","school",2,18,0.111111111111111
"178",34,"Die Kinder der Schule vor meinem Haus went outside to","code_switching","shop",1,18,0.0555555555555556
"179",34,"The children from the school across from my house went outside to","English","play",18,19,0.947368421052632
"180",34,"The children from the school across from my house went outside to","English","watch",1,19,0.0526315789473684
"181",35,"Die junge Mutter aus der Nachbarschaft fütterte her baby some warm","code_switching","applesauce",1,19,0.0526315789473684
"182",35,"Die junge Mutter aus der Nachbarschaft fütterte her baby some warm","code_switching","chocolate",1,19,0.0526315789473684
"183",35,"Die junge Mutter aus der Nachbarschaft fütterte her baby some warm","code_switching","food",3,19,0.157894736842105
"184",35,"Die junge Mutter aus der Nachbarschaft fütterte her baby some warm","code_switching","meal",1,19,0.0526315789473684
"185",35,"Die junge Mutter aus der Nachbarschaft fütterte her baby some warm","code_switching","milk",10,19,0.526315789473684
"186",35,"Die junge Mutter aus der Nachbarschaft fütterte her baby some warm","code_switching","porridge",2,19,0.105263157894737
"187",35,"Die junge Mutter aus der Nachbarschaft fütterte her baby some warm","code_switching","soup",1,19,0.0526315789473684
"188",35,"The young mother in the neighborhood fed her baby some warm","English","food",1,18,0.0555555555555556
"189",35,"The young mother in the neighborhood fed her baby some warm","English","milk",15,18,0.833333333333333
"190",35,"The young mother in the neighborhood fed her baby some warm","English","porridge",1,18,0.0555555555555556
"191",35,"The young mother in the neighborhood fed her baby some warm","English","soup",1,18,0.0555555555555556
"192",36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on","code_switching","break",1,18,0.0555555555555556
"193",36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on","code_switching","holidays",2,18,0.111111111111111
"194",36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on","code_switching","seminar",1,18,0.0555555555555556
"195",36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on","code_switching","strike",5,18,0.277777777777778
"196",36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on","code_switching","trip",1,18,0.0555555555555556
"197",36,"Die Schulen wurden geschlossen, weil die Lehrer beschlossen to go on","code_switching","vacation",8,18,0.444444444444444
"198",36,"The schools closed down because the teachers decided to go on","English","concert",1,19,0.0526315789473684
"199",36,"The schools closed down because the teachers decided to go on","English","holidays",4,19,0.210526315789474
"200",36,"The schools closed down because the teachers decided to go on","English","strike",3,19,0.157894736842105
"201",36,"The schools closed down because the teachers decided to go on","English","trip",2,19,0.105263157894737
"202",36,"The schools closed down because the teachers decided to go on","English","vacation",9,19,0.473684210526316
"203",37,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of","code_switching","coffee",11,19,0.578947368421053
"204",37,"Nur wenige Minuten nach seiner Ankunft im Büro, verschüttete der Detective his thermos full of","code_switching","tea",8,19,0.421052631578947
"205",37,"Within minutes of arriving at the office, the detective spilled his thermos full of","English","coffee",13,18,0.722222222222222
"206",37,"Within minutes of arriving at the office, the detective spilled his thermos full of","English","tea",5,18,0.277777777777778
"207",38,"Mein Mitbewohner aus Berlin ließ the dirty dishes in the","code_switching","dishwasher",3,18,0.166666666666667
"208",38,"Mein Mitbewohner aus Berlin ließ the dirty dishes in the","code_switching","sink",15,18,0.833333333333333
"209",38,"My roommate from Berlin left the dirty dishes in the","English","dishwasher",1,19,0.0526315789473684
"210",38,"My roommate from Berlin left the dirty dishes in the","English","fridge",1,19,0.0526315789473684
"211",38,"My roommate from Berlin left the dirty dishes in the","English","kitchen",2,19,0.105263157894737
"212",38,"My roommate from Berlin left the dirty dishes in the","English","sink",15,19,0.789473684210526
"213",39,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to ","code_switching","die",1,19,0.0526315789473684
"214",39,"Richard hatte Angst, nahe am Rand der Klippe zu gehen, because he was afraid to ","code_switching","fall",18,19,0.947368421052632
"215",39,"Richard was afraid to walk near the edge of the cliff because he was afraid to","English","fall",18,18,1
"216",40,"Die Mathelehrerin der vierten Klasse konnte nicht gut sehen without her thick","code_switching","glasses",18,18,1
"217",40,"The fourth grade math teacher could not see well without her thick","English","belly",1,19,0.0526315789473684
"218",40,"The fourth grade math teacher could not see well without her thick","English","flashlight",1,19,0.0526315789473684
"219",40,"The fourth grade math teacher could not see well without her thick","English","glasses",17,19,0.894736842105263
"220",41,"Die meisten Haiangriffe passieren very close to","code_switching","beach",4,19,0.210526315789474
"221",41,"Die meisten Haiangriffe passieren very close to","code_switching","boats",1,19,0.0526315789473684
"222",41,"Die meisten Haiangriffe passieren very close to","code_switching","coast",2,19,0.105263157894737
"223",41,"Die meisten Haiangriffe passieren very close to","code_switching","shore",11,19,0.578947368421053
"224",41,"Die meisten Haiangriffe passieren very close to","code_switching","water",1,19,0.0526315789473684
"225",41,"Most shark attacks occur very close to","English","australia",2,18,0.111111111111111
"226",41,"Most shark attacks occur very close to","English","beach",4,18,0.222222222222222
"227",41,"Most shark attacks occur very close to","English","california",1,18,0.0555555555555556
"228",41,"Most shark attacks occur very close to","English","home",1,18,0.0555555555555556
"229",41,"Most shark attacks occur very close to","English","mexico",1,18,0.0555555555555556
"230",41,"Most shark attacks occur very close to","English","shore",9,18,0.5
"231",42,"Alle hupten den alten Mann an who was driving too","code_switching","slow",18,18,1
"232",42,"Everyone was honking at the old man who was driving too","English","fast",1,19,0.0526315789473684
"233",42,"Everyone was honking at the old man who was driving too","English","slow",18,19,0.947368421052632
"234",43,"Keine seiner Geschichten made any real","code_switching","connection",1,19,0.0526315789473684
"235",43,"Keine seiner Geschichten made any real","code_switching","points",1,19,0.0526315789473684
"236",43,"Keine seiner Geschichten made any real","code_switching","progress",1,19,0.0526315789473684
"237",43,"Keine seiner Geschichten made any real","code_switching","progression",1,19,0.0526315789473684
"238",43,"Keine seiner Geschichten made any real","code_switching","sense",15,19,0.789473684210526
"239",43,"None of his stories made any real","English","impact",1,18,0.0555555555555556
"240",43,"None of his stories made any real","English","sense",17,18,0.944444444444444
"241",44,"Der Sekretär des Büros schickte the letter without a","code_switching","address",1,18,0.0555555555555556
"242",44,"Der Sekretär des Büros schickte the letter without a","code_switching","greeting",1,18,0.0555555555555556
"243",44,"Der Sekretär des Büros schickte the letter without a","code_switching","heading",1,18,0.0555555555555556
"244",44,"Der Sekretär des Büros schickte the letter without a","code_switching","names",1,18,0.0555555555555556
"245",44,"Der Sekretär des Büros schickte the letter without a","code_switching","sender",1,18,0.0555555555555556
"246",44,"Der Sekretär des Büros schickte the letter without a","code_switching","sign",1,18,0.0555555555555556
"247",44,"Der Sekretär des Büros schickte the letter without a","code_switching","signature",1,18,0.0555555555555556
"248",44,"Der Sekretär des Büros schickte the letter without a","code_switching","signing",1,18,0.0555555555555556
"249",44,"Der Sekretär des Büros schickte the letter without a","code_switching","stamp",9,18,0.5
"250",44,"Der Sekretär des Büros schickte the letter without a","code_switching","warning",1,18,0.0555555555555556
"251",44,"The office secretary mailed the letter without a","English","message",1,19,0.0526315789473684
"252",44,"The office secretary mailed the letter without a","English","notice",1,19,0.0526315789473684
"253",44,"The office secretary mailed the letter without a","English","postmark",1,19,0.0526315789473684
"254",44,"The office secretary mailed the letter without a","English","reference",1,19,0.0526315789473684
"255",44,"The office secretary mailed the letter without a","English","regret",1,19,0.0526315789473684
"256",44,"The office secretary mailed the letter without a","English","sign",1,19,0.0526315789473684
"257",44,"The office secretary mailed the letter without a","English","signature",2,19,0.105263157894737
"258",44,"The office secretary mailed the letter without a","English","stamp",9,19,0.473684210526316
"259",44,"The office secretary mailed the letter without a","English","subject",1,19,0.0526315789473684
"260",44,"The office secretary mailed the letter without a","English","title",1,19,0.0526315789473684
"261",45,"Die Kühe liefen von der Sonne weg into the cool","code_switching","breeze",1,19,0.0526315789473684
"262",45,"Die Kühe liefen von der Sonne weg into the cool","code_switching","forest",1,19,0.0526315789473684
"263",45,"Die Kühe liefen von der Sonne weg into the cool","code_switching","shade",1,19,0.0526315789473684
"264",45,"Die Kühe liefen von der Sonne weg into the cool","code_switching","shades",1,19,0.0526315789473684
"265",45,"Die Kühe liefen von der Sonne weg into the cool","code_switching","shadow",13,19,0.684210526315789
"266",45,"Die Kühe liefen von der Sonne weg into the cool","code_switching","shell",1,19,0.0526315789473684
"267",45,"Die Kühe liefen von der Sonne weg into the cool","code_switching","sunset",1,19,0.0526315789473684
"268",45,"The cows moved from the sun into the cool","English","barn",1,18,0.0555555555555556
"269",45,"The cows moved from the sun into the cool","English","field",1,18,0.0555555555555556
"270",45,"The cows moved from the sun into the cool","English","shade",5,18,0.277777777777778
"271",45,"The cows moved from the sun into the cool","English","shadow",9,18,0.5
"272",45,"The cows moved from the sun into the cool","English","shed",1,18,0.0555555555555556
"273",45,"The cows moved from the sun into the cool","English","water",1,18,0.0555555555555556
"274",46,"Der Mann nebenan spielte his stereo much too","code_switching","loud",18,18,1
"275",46,"The man downstairs played his stereo much too","English","loud",19,19,1
"276",47,"Die Jungen spielten Murmeln and the girls jumped","code_switching","circle",1,19,0.0526315789473684
"277",47,"Die Jungen spielten Murmeln and the girls jumped","code_switching","high",1,19,0.0526315789473684
"278",47,"Die Jungen spielten Murmeln and the girls jumped","code_switching","pool",1,19,0.0526315789473684
"279",47,"Die Jungen spielten Murmeln and the girls jumped","code_switching","rope",13,19,0.684210526315789
"280",47,"Die Jungen spielten Murmeln and the girls jumped","code_switching","ropes",1,19,0.0526315789473684
"281",47,"Die Jungen spielten Murmeln and the girls jumped","code_switching","trampoline",2,19,0.105263157894737
"282",47,"The boys played marbles and the girls jumped","English","around",3,18,0.166666666666667
"283",47,"The boys played marbles and the girls jumped","English","hoops",1,18,0.0555555555555556
"284",47,"The boys played marbles and the girls jumped","English","lines",1,18,0.0555555555555556
"285",47,"The boys played marbles and the girls jumped","English","pool",1,18,0.0555555555555556
"286",47,"The boys played marbles and the girls jumped","English","rope",9,18,0.5
"287",47,"The boys played marbles and the girls jumped","English","ropes",3,18,0.166666666666667
"288",48,"Der Surfer aus Hawaii fiel von seinem Surfboard after the first big","code_switching","wave",18,18,1
"289",48,"The surfer from Hawaii fell off his surfboard after the first big","English","wave",19,19,1
"290",49,"Tim threw a rock and broke the","English","water",1,18,0.0555555555555556
"291",49,"Tim threw a rock and broke the","English","window",17,18,0.944444444444444
"292",49,"Tim warf einen Stein and broke the","code_switching","glass",4,17,0.235294117647059
"293",49,"Tim warf einen Stein and broke the","code_switching","shell",1,17,0.0588235294117647
"294",49,"Tim warf einen Stein and broke the","code_switching","window",12,17,0.705882352941177
"295",50,"Steve spilled coffee all over his white","English","couch",1,17,0.0588235294117647
"296",50,"Steve spilled coffee all over his white","English","pants",1,17,0.0588235294117647
"297",50,"Steve spilled coffee all over his white","English","shirt",14,17,0.823529411764706
"298",50,"Steve spilled coffee all over his white","English","tea",1,17,0.0588235294117647
"299",50,"Steve verschüttete Kaffee all over his white","code_switching","collar",1,18,0.0555555555555556
"300",50,"Steve verschüttete Kaffee all over his white","code_switching","jacket",1,18,0.0555555555555556
"301",50,"Steve verschüttete Kaffee all over his white","code_switching","keyboard",1,18,0.0555555555555556
"302",50,"Steve verschüttete Kaffee all over his white","code_switching","pants",2,18,0.111111111111111
