Group,number,inner_number,item,itemtype,Sentence_length,Sentence_words,Best_completion,Frequency,Length,Unexpected_word,Frequency,Length
F,110,110,"Sobald sie am Sand angekommen waren, hielt er an to take off his",code_switching,64,13,Shoes,,5,Watch,,5
E,111,111,Peter malte die Wände der Vogelausstellung blau an to resemble the,code_switching,66,11,Sky,,3,Carpeting,,9
F,112,112,Nach einer Ermahnung wurde der böse Junge sent to his,code_switching,53,10,Room,,4,counselor,,9
E,113,113,"Niemand konnte Dan beim Klassentreffen wiedererkennen, because he had grown a ",code_switching,78,12,Beard,,5,foot,,4
F,114,114,Nach dem Unfall beim Skifahren Randy broke his,code_switching,46,8,Leg,,3,glasses,,7
E,115,115,Das alte Klavier aus Italien was out of,code_switching,39,8,Tune,,4,place,,5
F,116,116,Das Kind kam auf die Welt with a rare,code_switching,37,9,Disease,,7,gift,,4
E,117,117,Sie zog ihren Kopf unter dem Wasserhahn hervor and reached for a,code_switching,64,12,Towel,,5,Pill,,4
F,118,118,Er schlich sich in den room without a,code_switching,38,8,Sound,,5,plan,,4
E,119,119,Der Ausgang war gekennzeichnet by a large,code_switching,41,7,Sign,,4,rock,,4
F,120,120,Joe ging zum Baumarkt und kaufte Ersatzfenster at twice the original,code_switching,68,11,Price,,5,Thickness,,9
E,121,121,Sam konnte nicht glauben dass her story was,code_switching,43,8,TRUE,,4,published,,9
F,122,122,The Hausordnung erlaubte es Besuchern nicht to feed the,code_switching,56,9,Animals,,7,Children,,8
E,123,123,Als Daniela ungeplannt im Restaurant auftachte gab Laurie ihm einen Stuhl from the adjacent,code_switching,92,14,Table,,5,Patio,,5
F,124,124,"Sie dachte tatsächlich ernsthaft, dass she had seen a",code_switching,53,9,Ghost,,5,Ship,,4
E,125,125,"Nachdem der Juwelier gefragt wurde, überprüfte er the ring's huge",code_switching,65,10,Diamond,,7,Crack,,5
F,126,126,Morgens trinkt er immer Tee und benutzt ein besonderes Sieb to catch the loose,code_switching,78,14,leaves,,6,,,0
E,127,127,"Sie hat ein neues Anti-Virus-Programm installiert und ist nun überzeugt davon, that her laptop is",code_switching,97,15,protected,,9,,,0
F,128,128,"Sie brauchte ein bestimmtes Ladekabel, aber could not find it inside her",code_switching,72,12,bag,,3,,,0
E,129,129,Er nahm sich einen kleinen Taschenrechner und typed in some,code_switching,59,10,"numbers, digits",,15,,,0
F,130,130,Er holt einen neuen Korkenzieher and opened the,code_switching,48,8,bottle,,6,,,0
E,131,131,"Sie klappt einen großen Wäscheständer auf, to dry the ",code_switching,54,10,laundry,,7,,,0
F,132,132,Sie schnappte sich am Waschbecken eine große Kanne and filled it with,code_switching,70,12,water,,5,,,0
E,133,133,Er leiht sich von Petra eine gute Fahrradpumpe to inflate the,code_switching,62,11,tires,,5,,,0
F,134,134,Er kaufte sich einen neuen Rasierer to trim his,code_switching,48,9,beard,,5,,,0
E,135,135,Er nahm sich ein neues Taschentuch to wipe his,code_switching,47,9,nose,,4,,,0
F,136,136,"Er besorgt sich im Alter eine neue Lesebrille, to read the ",code_switching,59,12,newspaper,,9,,,0
E,137,137,Im Supermarkt nahm er sich einen großen Einkaufswagen und started filling it with,code_switching,81,13,grocieres,,9,,,0
F,138,138,Sie braucht einen maßgefertigten Rollstuhl with an electric,code_switching,60,8,motor,,5,,,0
E,139,139,Sie nahm beim Backen ein Sieb und verteilte den powdered sugar over the,code_switching,71,13,cake,,4,,,0
F,140,140,Sie nahm sich einen neuen Stift to take some,code_switching,44,9,photos,,6,,,0
E,141,141,Das Mädchen holte sich einen luxuriösen Fön and dried her,code_switching,59,10,notes,,5,,,0
F,142,142,"Um die ungewöhnliche Bakterie sorgfältig untersuchen zu können, kaufte sich die Biologin a more powerful ",code_switching,105,16,,,0,,,0
E,143,143,"Da der hölzerne Gartenstuhl eine harte Sitzfläche hatte, holte Karen a soft, fluffy ",code_switching,84,14,,,0,,,0
F,144,144,"Weil Tom nach Indien gehen und dort ein Jahr arbeiten möchte, he applies for a ",code_switching,79,16,,,0,,,0
B,145,1,Nora couldn't take the message because she didn't have a pencil or a piece of,English,77,15,,,0,,,0
A,146,2,"In caring for hospitalized patients, a doctor often needs the help of a",English,71,13,,,0,,,0
B,147,3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",English,89,16,,,0,,,0
A,148,4,The little girl refused to go to sleep until he told her a,English,58,13,,,0,,,0
B,149,5,He wrote himself a note so that he wouldn't,English,43,9,,,0,,,0
A,150,6,The inmates in prison were planning their,English,41,7,,,0,,,0
B,151,7,Giraffes are known for their long necks and zebras for their,English,60,11,,,0,,,0
A,152,8,Marsha knew the guests could remain eating appetizers for at least another,English,75,12,,,0,,,0
B,153,9,Every morning Susan braids her little daughter's hair and helps her dress for,English,77,13,,,0,,,0
A,154,10,The groom took the bride's hand and placed the ring on her,English,58,12,,,0,,,0
B,155,11,"In the kitchen, Father carved the turkey with a",English,47,9,,,0,,,0
A,156,12,"Mike felt sorry, but it was not his",English,35,8,,,0,,,0
B,157,13,The teacher saw that some students were cheating and wrote down their,English,69,12,,,0,,,0
A,158,14,Maria shut the front window and locked the back,English,47,9,,,0,,,0
B,159,15,You can't open the door with the wrong,English,38,8,,,0,,,0
A,160,16,I didn't like the show so I changed the,English,39,9,,,0,,,0
B,161,17,When the power went out we couldn't see anything and the house became,English,69,13,,,0,,,0
A,162,18,Alfonso has started biking to work instead of driving his,English,57,10,,,0,,,0
B,163,19,A dog in good health has a good sense of,English,40,10,,,0,,,0
A,164,20,Most people in our country spend December 25th with their,English,57,10,,,0,,,0
B,165,21,They saw the lightening and clearly heard the,English,45,8,,,0,,,0
A,166,22,She had to leave the movie when the baby started to,English,51,11,,,0,,,0
B,167,23,"I greeted him, but I could not remember his",English,43,9,,,0,,,0
A,168,24,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",English,81,15,,,0,,,0
B,169,25,"After the hurricane shattered the window, the room was filled with broken",English,73,12,,,0,,,0
A,170,26,The rude waiter in the restaurant was not given a,English,49,10,,,0,,,0
B,171,27,That he had grown up in the South you could tell by his,English,55,13,,,0,,,0
A,172,28,Be careful because the top of the stove is very,English,48,10,,,0,,,0
B,173,29,When you go to bed turn off the,English,31,8,,,0,,,0
A,174,30,Paul painted the clown's suit blue and gave him a big red,English,57,12,,,0,,,0
B,175,31,Bill jumped in the lake and made a big,English,38,9,,,0,,,0
A,176,32,The boss of the store where he worked afternoons refused to give him a,English,70,14,,,0,,,0
B,177,33,"He knew that he could call Chris, even in the middle of the",English,59,13,,,0,,,0
A,178,34,The children from the school across from my house went outside to,English,65,12,,,0,,,0
B,179,35,The young mother in the neighborhood fed her baby some warm,English,59,11,,,0,,,0
A,180,36,The schools closed down because the teachers decided to go on,English,61,11,,,0,,,0
B,181,37,"Within minutes of arriving at the office, the detective spilled his thermos full of",English,83,14,,,0,,,0
A,182,38,My roommate from Berlin left the dirty dishes in the,English,52,10,,,0,,,0
B,183,39,Richard was afraid to walk near the edge of the cliff because he was afraid to,English,78,16,,,0,,,0
A,184,40,The fourth grade math teacher could not see well without her thick,English,66,12,,,0,,,0
B,185,41,Most shark attacks occur very close to,English,38,7,,,0,,,0
A,186,42,Everyone was honking at the old man who was driving too,English,55,11,,,0,,,0
B,187,43,None of his stories made any real,English,33,7,,,0,,,0
A,188,44,The office secretary mailed the letter without a,English,48,8,,,0,,,0
B,189,45,The cows moved from the sun into the cool,English,41,9,,,0,,,0
A,190,46,The man downstairs played his stereo much too,English,45,8,,,0,,,0
B,191,47,The boys played marbles and the girls jumped,English,44,8,,,0,,,0
A,192,48,The surfer from Hawaii fell off his surfboard after the first big,English,65,12,,,0,,,0
D,193,49,Tim threw a rock and broke the,English,30,7,,,0,,,0
C,194,50,Steve spilled coffee all over his white,English,39,7,,,0,,,0
D,195,51,He decided to travel to Iran even though he knew it could be,English,60,13,,,0,,,0
C,196,52,Cold damp weather makes her joints ache so she took some aspirin for the,English,72,14,,,0,,,0
D,197,53,"Before she arrived, he opened a bottle of wine and put on some soft",English,67,14,,,0,,,0
C,198,54,The ship with the white sails disappeared into the thick,English,56,10,,,0,,,0
D,199,55,Ron bought a board for the window that was too long and then he bought one that was way too,English,91,20,,,0,,,0
C,200,56,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",English,94,16,,,0,,,0
D,201,57,He bought her a pearl necklace for her,English,38,8,,,0,,,0
C,202,58,The young man in the park must keep his pet on a,English,48,12,,,0,,,0
D,203,59,Rachel loves the smell of tobacco but she can't stand all the,English,61,12,,,0,,,0
C,204,60,He had just enough time to buy a cake from the store and change his clothes before the guests,English,93,19,,,0,,,0
D,205,61,The squirrel stored some nuts in the big,English,40,8,,,0,,,0
C,206,62,Every morning before school his mother laid out his clothes and packed his,English,74,13,,,0,,,0
D,207,63,He quit his job and left his family so that he could sail around the,English,68,15,,,0,,,0
C,208,64,"In any case, don't touch the sticky wet",English,39,8,,,0,,,0
D,209,65,Cats loved to be scratched behind the,English,37,7,,,0,,,0
C,210,66,The white seagull dove down and caught a,English,40,8,,,0,,,0
D,211,67,John swept the floor with a long,English,32,7,,,0,,,0
C,212,68,He was cold most of the night and finally got up to get another,English,63,14,,,0,,,0
D,213,69,"At first the boy refused, but eventually he changed his",English,55,10,,,0,,,0
C,214,70,Rafael wants to preserve the forest by guarding every,English,54,9,,,0,,,0
D,215,71,There were colorful pictures on every single,English,44,7,,,0,,,0
C,216,72,"At the end of the trip, Pam had no more clothes to",English,50,12,,,0,,,0
D,217,73,They raised pigs on their,English,25,5,,,0,,,0
C,218,74,He settled for German wine because the imported stuff was too,English,61,11,,,0,,,0
D,219,75,Simon thinks it's ok to listen to loud music even if his door is,English,64,14,,,0,,,0
C,220,76,His skin was bright red from spending time at the,English,49,10,,,0,,,0
D,221,77,Phil used the dropper to put some drops in his,English,46,10,,,0,,,0
C,222,78,The colonel wished the sergeant would treat his command not as a polite request but as a direct,English,95,18,,,0,,,0
D,223,79,Sharon dried the bowls with a big,English,33,7,,,0,,,0
C,224,80,Shuffle the cards thoroughly before you,English,39,6,,,0,,,0
D,225,81,Esther didn't think the sword was dangerous because it wasn't very,English,66,11,,,0,,,0
C,226,82,The child cried continuously and upset her,English,42,7,,,0,,,0
D,227,83,"After the rents went up again, the tenants decided to take their landlord to ",English,77,15,,,0,,,0
C,228,84,"When George couldn't get into his car, he got down on one knee and reached under the bumper for the spare",English,105,21,,,0,,,0
D,229,85,The construction worker had developed very powerful arms from unloading cement from the,English,87,13,,,0,,,0
C,230,86,It was important for him to be on,English,33,8,,,0,,,0
D,231,87,The cat liked to curl up in Jill's,English,35,8,,,0,,,0
C,232,88,Our long-awaited guests should be arriving,English,42,6,,,0,,,0
D,233,89,Each night at midnight the boy scouts built a huge,English,50,10,,,0,,,0
C,234,90,"It's raining, and I forgot everything: my coat, hat, and",English,56,10,,,0,,,0
D,235,91,I just had a new sound system installed in my brand new,English,55,12,,,0,,,0
C,236,92,The movers seemed to take great delight in tossing the boxes marked,English,67,12,,,0,,,0
D,237,93,"On hot days, many people sun themselves on the nearest",English,54,10,,,0,,,0
C,238,94,He liked lemon and sugar in his hot,English,35,8,,,0,,,0
D,239,95,It's hard to admit when one is,English,30,7,,,0,,,0
C,240,96,"After dinner, they spent a long time over coffee just",English,53,10,,,0,,,0
F,241,97,The organic fertilizer helped enrich the,English,40,6,,,0,,,0
E,242,98,The problem with my friend Paul is that he can't take a,English,55,12,,,0,,,0
F,243,99,The two robbers carried guns but didn't,English,39,7,,,0,,,0
E,244,100,After two hours of hard work they decided to take a short,English,57,12,,,0,,,0
F,245,101,He carefully positioned the violin under his,English,44,7,,,0,,,0
E,246,102,He put a new sheet on the clean,English,32,8,,,0,,,0
F,247,103,They decided to buy a small home and built an addition with two more,English,68,14,,,0,,,0
E,248,104,Cindy taught her two-year old that the pictures are square and that the plates are,English,82,15,,,0,,,0
F,249,105,"While the national anthem is played, one needs to show respect and everyone is expected to",English,90,16,,,0,,,0
E,250,106,After dinner they got up and washed the,English,39,8,,,0,,,0
F,251,107,After lunch he scraped the cold food from his,English,45,9,,,0,,,0
E,252,108,It was drafty because of the cold air leaking in through the door and all the side,English,82,17,,,0,,,0
F,253,109,"Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three",English,100,17,,,0,,,0
E,254,110,As soon as they reached the sand he stopped to take off his,English,59,13,,,0,,,0
F,255,111,Peter painted the walls of the bird exhibit light blue to resemble the,English,70,13,,,0,,,0
E,256,112,"After a warning, the bad boy was sent to his",English,44,10,,,0,,,0
F,257,113,No one at the reunion recognized Dan because he had grown a,English,60,12,,,0,,,0
E,258,114,"After the skiing accident, Randy broke his",English,42,7,,,0,,,0
F,259,115,The old piano from Italy was out of,English,35,8,,,0,,,0
E,260,116,The child was born with a rare,English,30,7,,,0,,,0
F,261,117,She pulled her head out from under the faucet and reached for a,English,63,13,,,0,,,0
E,262,118,He crept into the room without a,English,32,7,,,0,,,0
F,263,119,The exit was marked by a large,English,30,7,,,0,,,0
E,264,120,Joe went to the hardware store and bought a replacement window at twice the original,English,84,15,,,0,,,0
F,265,121,Sam could not believe her story was,English,35,7,,,0,,,0
E,266,122,The house rules did not allow visitors to feed the,English,51,10,,,0,,,0
F,267,123,"When Daniela arrived unexpectedly at the restaurant, Laurie got him a chair from the adjacent ",English,94,16,,,0,,,0
E,268,124,She honestly seriously thought she had seen a,English,45,8,,,0,,,0
F,269,125,"After the jeweler was asked, he would examine the ring's huge",English,61,11,,,0,,,0
E,270,126,He always drinks tea in the morning and uses a special filter to catch the loose,English,80,16,,,0,,,0
F,271,127,She installed a new anti-virus program and is now convinced that her laptop is,English,79,14,,,0,,,0
E,272,128,"She needed a special charging cable, but could not find it inside her",English,69,13,,,0,,,0
F,273,129,He took a small pocket calculator and typed in some,English,51,10,,,0,,,0
E,274,130,He took a new cork screw and opened the,English,39,9,,,0,,,0
F,275,131,He folded out a big drying rack to dry the,English,42,10,,,0,,,0
E,276,132,She grabbed a big pitcher near the sink and filled it with,English,58,12,,,0,,,0
F,277,133,He borrowed a good bicycle pump from Petra to inflate the,English,57,11,,,0,,,0
E,278,134,He bought a new razor to trim his,English,33,8,,,0,,,0
F,279,135,He got out a clean tissue to wipe his,English,37,9,,,0,,,0
E,280,136,"When he got older, he got himself a pair of new reading glasses to read the",English,75,16,,,0,,,0
F,281,137,In the supermarket he took a big shopping cart and started filling it with,English,74,14,,,0,,,0
E,282,138,She needs a custom-made wheel chair with an electric,English,52,9,,,0,,,0
F,283,139,"While baking, she took a sifter and sprinkled the powdered sugar over the",English,73,13,,,0,,,0
E,284,140,She took her new pen to take some,English,33,8,,,0,,,0
F,285,141,The girl got herself a fancy blowdryer and dried her,English,53,10,,,0,,,0
E,286,142,"In order to examine the unusual bacterium carefully, the biologist bought a more powerful",English,90,14,,,0,,,0
F,287,143,"Since the wooden garden chair had a hard seat, Karen fetched a soft, fluffy",English,75,14,,,0,,,0
E,288,144,"Because Tom wants to go to India and work there for a year, he applies for a ",English,77,18,,,0,,,0
A,289,filler1,Die Behörden evakuierten alle aus dem Gebiet nach den,German,53,9,,,0,,,0
A,290,filler2,Der Techniker braucht morgens vor Schichtbeginn erstmal einen,German,61,8,,,0,,,0
A,291,filler3,Liz und Marie saßen am Schreibtisch und besprachen das Thema für das nächste,German,44,10,,,0,,,0
