participant,InnerNumber,Item,Itemtype,n,total,cloze_clean,cloze_probability
human,50,She was docked one hour's pay for coming to work,E,18,18,late,1
human,51,Ricardo estaba asustado de caminar cerca a la orilla del precipicio porque he was afraid he would,CS,15,18,fall,0.833333333333333
human,51,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,27,29,fall,0.931034482758621
human,52,Nicole could not read very well without her thick,E,17,18,glasses,0.944444444444444
human,52,Nicole no leía muy bien without her thick,CS,19,19,glasses,1
human,53,La mayoría de los ataques de tiburones suceden very close to,CS,10,15,shore,0.666666666666667
human,53,Most shark attacks occur very close to,E,12,19,shore,0.631578947368421
human,55,Ninguno de sus books made any,CS,15,19,sense,0.789473684210526
human,55,None of his books made any,E,27,29,sense,0.931034482758621
human,56,He mailed the letter without a,E,27,29,stamp,0.931034482758621
human,56,Él envió un letter without a,CS,12,19,stamp,0.631578947368421
human,57,Las vacas se movieron del sun into the,CS,16,17,shade,0.941176470588235
human,57,The cows moved from the sun into the,E,17,20,shade,0.85
human,58,William played his stereo much too,E,28,29,loud,0.96551724137931
human,58,William tocó su stereo much too,CS,11,18,loud,0.611111111111111
human,60,El surfista fue empujado de su tabla de surfear by the first,CS,18,19,wave,0.947368421052632
human,60,The surfer was knocked off his surfboard by the first,E,18,18,wave,1
human,61,Tim threw a rock and broke the,E,16,17,window,0.941176470588235
human,61,Tim tiró una piedra and broke the,CS,19,20,window,0.95
human,62,Ricardo spilled coffee all over his clean white,E,17,20,shirt,0.85
human,62,Ricardo tiró el café all over his clean white,CS,11,17,shirt,0.647058823529412
human,63,He decided to travel in Iran even though he knew it could be,E,26,29,dangerous,0.896551724137931
human,63,Él decidió ir a Irán a pesar de que he knew it could be,CS,16,19,dangerous,0.842105263157895
human,64,Cold damp weather makes her joints ache so she's been taking a lot of aspirin for the,E,18,19,pain,0.947368421052632
human,64,"El clima frío y húmedo le hace doler las articulaciones, así que ha estado tomando a lot of aspirin for the",CS,16,18,pain,0.888888888888889
human,65,Antes que ella llegara él abrió una botella de vino y put on some soft,CS,23,29,music,0.793103448275862
human,65,Before she arrived he opened a bottle of wine and put on some soft,E,13,18,music,0.722222222222222
human,66,El barco desapareció into the thick,CS,12,19,fog,0.631578947368421
human,66,The ship disappeared into the thick,E,24,29,fog,0.827586206896552
human,67,Ron bought a board for the window that was too long and then he bought one that was too,E,22,29,short,0.758620689655172
human,67,Ron compró una tabla para la ventana que era demasiada larga y luego compró otra that was too,CS,10,19,short,0.526315789473684
human,68,"A medida que el clima se volvió más cálido, Mark comenzó a usar su chaqueta más liviana en lugar de his heavy winter",CS,12,16,coat,0.75
human,68,"As the weather got warmer, Mark started wearing his lighter jacket instead of his heavy winter",E,27,29,coat,0.931034482758621
human,70,Jorge debe mantener su pet on a,CS,12,17,leash,0.705882352941177
human,70,Jorge must keep his pet on a,E,20,20,leash,1
human,71,A Raquel le encanta el olor del tabaco pero she can't stand all the,CS,23,26,smoke,0.884615384615385
human,71,Rachel loves the smell of tobacco but she can't stand all the,E,15,18,smoke,0.833333333333333
human,72,He had just enough time to buy a cake from the store and change his clothes before the guests,E,17,18,arrived,0.944444444444444
human,72,Él tuvo tiempo justo para comprar un pastel en la tienda y cambiarse de ropa before the guests,CS,19,19,arrived,1
human,73,La ardilla guardó some nuts in the,CS,11,18,tree,0.611111111111111
human,73,The squirrel stored some nuts in the,E,14,19,tree,0.736842105263158
human,74,Every morning before school his mother laid out his clothes and packed his,E,16,19,lunch,0.842105263157895
human,74,"Todas las mañanas, antes de ir a la escuela, su madre preparaba su ropa and packed his",CS,23,29,lunch,0.793103448275862
human,75,He quit his job and left his family so that he could sail around the,E,27,29,world,0.931034482758621
human,75,Él dejó su trabajo y abandonó a su familia para poder sail around the,CS,17,19,world,0.894736842105263
human,76,Don't touch the sticky wet,E,4,19,paint,0.210526315789474
human,76,No toque the sticky wet,CS,12,29,paint,0.413793103448276
human,77,Cats loved to be scratched gently behind the,E,17,17,ears,1
human,77,Los gatos aman que los rasquen gently behind the,CS,19,20,ears,0.95
human,78,La gaviota blanca se sumergió and caught a,CS,14,18,fish,0.777777777777778
human,78,The white seagull dove down and caught a,E,26,29,fish,0.896551724137931
human,79,Juan barrió el piso with a big,CS,20,20,broom,1
human,79,Juan swept the floor with a big,E,16,17,broom,0.941176470588235
human,80,He was cold most of the night and finally got up to get another,E,15,17,blanket,0.882352941176471
human,80,Él pasó frío casi toda la noche y finalmente se levantó to get another,CS,18,20,blanket,0.9
human,81,"Al principio el chico se negó, pero eventualmente he changed his",CS,17,18,mind,0.944444444444444
human,81,"At first the boy refused, but eventually he changed his",E,17,19,mind,0.894736842105263
human,82,Rafael quiere preservar el bosque nacional by guarding every,CS,11,18,tree,0.611111111111111
human,82,Rafael wants to preserve the national forest by guarding every,E,12,19,tree,0.631578947368421
human,84,Pamela did not have any clothes to,E,12,17,wear,0.705882352941177
human,84,Pamela no tenía any clothes to,CS,12,19,wear,0.631578947368421
human,85,Ellos criaban cerdos on their,CS,12,16,farm,0.75
human,85,They raised pigs on their,E,19,20,farm,0.95
human,86,He settled for American wine because the imported stuff was too,E,16,18,expensive,0.888888888888889
human,86,Él se conformó con el vino americano porque the imported stuff was too,CS,14,19,expensive,0.736842105263158
human,87,A Simón le parece bien escuchar música alta incluso si la puerta to his bedroom is,CS,9,19,closed,0.473684210526316
human,87,Simon thinks it's ok to listen to loud music even if the door to his bedroom is,E,15,18,open,0.833333333333333
human,88,His skin was red from spending the day at the,E,17,19,beach,0.894736842105263
human,88,Su piel estaba roja por haber pasado the day at the,CS,25,29,beach,0.862068965517241
human,89,Felipe puso unas drops in his,CS,15,19,eyes,0.789473684210526
human,89,Felipe put some drops in his,E,16,18,eyes,0.888888888888889
human,90,The colonel wished the sergeant would treat his command not as a polite request but as a direct,E,14,17,order,0.823529411764706
human,90,"Él coronel deseaba que el sargento tratara su orden no como una solicitud educada, but as a direct",CS,18,20,order,0.9
human,91,Sharon dried the dishes with a,E,13,19,towel,0.684210526315789
human,91,Sharon secó los dishes with a,CS,10,18,towel,0.555555555555556
human,93,Esther didn't think the sword was that dangerous because it wasn't very,E,17,19,sharp,0.894736842105263
human,93,Esther no pensaba que la espada era tan peligrosa porque it wasn't very,CS,12,17,sharp,0.705882352941177
human,94,El bebé lloró and upset his,CS,11,18,mother,0.611111111111111
human,94,The baby cried and upset his,E,7,19,mother,0.368421052631579
human,95,Los inquilinos decidieron llevar a su landlord to,CS,16,19,court,0.842105263157895
human,95,The tenants decided to take their landlord to,E,14,18,court,0.777777777777778
human,96,"Cuando Jorge no pudo entrar a su auto, se arrodilló y buscó debajo del paragolpes for the spare",CS,11,17,key,0.647058823529412
human,96,"When Jorge couldn't get into his car, he got down on one knee and reached under the bumper for the spare",E,14,20,key,0.7
human,97,El trabajador de construcción habia desarrollado brazos muy fuertes de bajar las bolsas de cement from the,CS,16,19,truck,0.842105263157895
human,97,The construction worker had developed very powerful arms from unloading bags of cement from the,E,18,18,truck,1
human,98,Es importante to be on,CS,15,17,time,0.882352941176471
human,98,It is important to be on,E,24,29,time,0.827586206896552
human,99,El gato estaba acurrucado in Aunt Anna's,CS,14,29,lap,0.482758620689655
human,99,The cat was curled up in Aunt Anna's,E,13,19,lap,0.684210526315789
human,100,Nuestros invitados expeciales should be arriving,CS,16,19,soon,0.842105263157895
human,100,Our special guests should be arriving,E,27,29,soon,0.931034482758621
human,101,Each night the campers built a huge,E,9,18,fire,0.5
human,101,Todas las noches los campistas built a huge,CS,12,19,fire,0.631578947368421
human,102,"Está lloviendo, y me olvidé de mi coat, hat, and",CS,19,29,umbrella,0.655172413793103
human,102,"It's raining, and I forgot my coat, hat, and",E,12,19,umbrella,0.631578947368421
human,103,I just had a new sound system installed in my,E,22,29,car,0.758620689655172
human,103,Recientemente tuve un sistema de sonido nuevo installed in my,CS,8,19,car,0.421052631578947
human,104,El hombre que manejaba el equipaje parecía tomar mucho placer en arrojar the boxes marked,CS,12,17,fragile,0.705882352941177
human,104,The luggage handler seemed to take great delight in tossing the boxes marked,E,12,19,fragile,0.631578947368421
human,105,"Los días calurosos, muchas personas sun themselves on the",CS,11,20,beach,0.55
human,105,"On hot days, many people sun themselves on the",E,14,17,beach,0.823529411764706
human,106,He liked putting lemon and sugar in his hot,E,13,19,tea,0.684210526315789
human,106,Le gusta agregar limón y azúcar in his hot,CS,18,29,tea,0.620689655172414
human,107,Es difícil admitir when one is,CS,16,18,wrong,0.888888888888889
human,107,It's hard to admit when one is,E,17,19,wrong,0.894736842105263
human,108,"After dinner, they spent a long time over coffee just",E,22,29,talking,0.758620689655172
human,108,"Después de la cena, ellos pasaron mucho tiempo over coffee just",CS,12,18,talking,0.666666666666667
human,109,El fertilizante orgánico helped enrich the,CS,10,18,soil,0.555555555555556
human,109,The organic fertilizer helped enrich the,E,14,19,soil,0.736842105263158
human,110,El problema con Cristina es que she can't take a,CS,12,20,joke,0.6
human,110,The problem with Christina is that she can't take a,E,11,17,joke,0.647058823529412
human,111,Los dos ladrones llevaban pistolas but they didn't,CS,13,18,shoot,0.722222222222222
human,111,The two robbers carried guns but they didn't,E,15,18,shoot,0.833333333333333
human,112,After two hours of hard work they decided to take a short,E,17,20,break,0.85
human,112,Después de dos horas de trabajo duro ellos decidieron to take a short,CS,16,17,break,0.941176470588235
human,113,He carefully positioned the violin under his,E,15,19,chin,0.789473684210526
human,113,Él puso cuidadosamente the violin under his,CS,6,18,bed,0.333333333333333
human,114,He put a new sheet on the clean,E,18,19,bed,0.947368421052632
human,114,Él puso una sábana nueva on the clean,CS,15,18,bed,0.833333333333333
human,115,Ellos decidieron comprar una casa pequeña y construir una adición with two more,CS,15,19,rooms,0.789473684210526
human,115,They decided to buy a small home and build an addition with two more,E,27,29,rooms,0.931034482758621
human,116,La universidad no lo dejaba registrarse hasta que pagara las multas de demora on the borrowed,CS,10,29,loan,0.344827586206897
human,116,The university wouldn't let him register until he paid the overdue fines on the borrowed,E,10,19,books,0.526315789473684
human,117,Carolina le enseñó a su hija de dos años que las fotos son cuadradas y the plates are,CS,13,19,round,0.684210526315789
human,117,Carolina taught her two-year-old that the pictures are square and that the plates are,E,19,29,round,0.655172413793103
human,118,"Cuando suena el himno nacional, todos are expected to",CS,14,17,stand,0.823529411764706
human,118,"While the national anthem is played, everyone is expected to",E,17,18,stand,0.944444444444444
human,119,After dinner they washed the dirty,E,15,17,dishes,0.882352941176471
human,119,Después de la cena ellos washed the dirty,CS,17,20,dishes,0.85
human,120,After lunch he scraped the cold food from his,E,25,29,plate,0.862068965517241
human,120,Después del almuerzo él raspó the cold food from his,CS,14,19,plate,0.736842105263158
human,121,Había viento por el aire frío que entraba por la puerta de entrada y all the side,CS,12,18,windows,0.666666666666667
human,121,It was drafty because of the cold air leaking in through the front door and all the side,E,13,17,windows,0.764705882352941
human,122,"Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three",E,9,19,children,0.473684210526316
human,122,"Tracy y su esposo no eran católicos, pero ella estaba contenta cuando un sacerdote cálidamente recibió a their three",CS,16,29,children,0.551724137931034
human,124,As soon as they reached the sand he stopped to take off his,E,10,18,shoes,0.555555555555556
human,124,En cuanto llegaron a la arena él se paró to take off his,CS,6,19,shoes,0.315789473684211
human,125,Pedro painted the walls of the bird exhibit light blue to resemble the,E,17,17,sky,1
human,125,Pedro pintó de color azul claro las paredes de la exibición de pájaros to resemble the,CS,20,20,sky,1
human,126,El niño malo was sent to his,CS,25,29,room,0.862068965517241
human,126,The bad boy was sent to his,E,14,19,room,0.736842105263158
human,128,Nadie en la reunión de la escuela reconoció a Daniel porque he had grown a,CS,13,20,beard,0.65
human,128,No one at the reunion recognized Daniel because he had grown a,E,15,17,beard,0.882352941176471
human,130,El piano viejo was out of,CS,10,17,tune,0.588235294117647
human,130,The old piano was out of,E,14,19,tune,0.736842105263158
human,131,El niño nació with a rare,CS,10,20,disease,0.5
human,131,The child was born with a rare,E,9,17,disease,0.529411764705882
human,134,El entró furtivamente al room without a,CS,5,28,sound,0.178571428571429
human,134,He crept into the room without a,E,13,19,sound,0.684210526315789
human,135,La salida estaba indicada by a large,CS,16,17,sign,0.941176470588235
human,135,The exit was marked by a large,E,19,20,sign,0.95
human,136,Juan fue a la ferretería y compró una ventana de repuesto at twice the original,CS,17,17,price,1
human,136,Juan went to the hardware store and bought a replacement window at twice the original,E,19,20,price,0.95
human,137,Samuel could not believe the story was,E,9,19,true,0.473684210526316
human,137,Samuel no podía creer que the story was,CS,5,18,real,0.277777777777778
human,138,Las reglas no permiten que los visitors feed the,CS,7,18,animals,0.388888888888889
human,138,The rules did not allow visitors to feed the,E,12,19,animals,0.631578947368421
human,139,"Cuando Andres llegó al restaurante inseperadamente, Lorenzo le trajo una silla from the adjacent",CS,22,29,table,0.758620689655172
human,139,"When Andres arrived unexpectedly at the restaurant, Lorenzo got him a chair from the adjacent",E,15,19,table,0.789473684210526
human,140,Ella pensó que she had seen a,CS,22,28,ghost,0.785714285714286
human,140,She thought she had seen a,E,15,19,ghost,0.789473684210526
human,141,Le preguntaron al joyero si podía examinar the ring's huge,CS,25,29,diamond,0.862068965517241
human,141,The jeweler was asked if he would examine the ring's huge,E,13,19,diamond,0.684210526315789
human,142,"Necesitaba un cable cargador especial, pero she couldn't find it inside her",CS,5,17,bag,0.294117647058824
human,142,"She needed a special charging cable, but could not find it inside her",E,8,20,bag,0.4
human,143,He took a new cork screw and opened the,E,12,18,bottle,0.666666666666667
human,143,Él agarró un sacacorchos nuevo and opened the,CS,12,19,bottle,0.631578947368421
human,144,He folded out a big drying rack to dry the,E,9,17,clothes,0.529411764705882
human,144,Él desdobló un gran drying rack to dry the,CS,13,20,clothes,0.65
human,145,Ella agarró una jarra grande cerca de la canilla and filled it with,CS,18,20,water,0.9
human,145,She grabbed a big pitcher near the sink and filled it with,E,16,17,water,0.941176470588235
human,146,He got out a clean tissue to wipe his,E,12,18,nose,0.666666666666667
human,146,Él sacó un pañuelo limpio to wipe his,CS,9,19,face,0.473684210526316
claude,1,Nora couldn't take the message because she didn't have a pencil or a piece of,E,19,19,paper,1
gpt,1,Nora couldn't take the message because she didn't have a pencil or a piece of,E,18,18,paper,1
mistral,1,Nora couldn't take the message because she didn't have a pencil or a piece of,E,19,19,paper,1
claude,1,Nora no pudo tomar el mensaje porque no tenía un lapiz ni un piece of,CS,18,18,paper,1
gpt,1,Nora no pudo tomar el mensaje porque no tenía un lapiz ni un piece of,CS,16,16,paper,1
mistral,1,Nora no pudo tomar el mensaje porque no tenía un lapiz ni un piece of,CS,18,18,paper,1
claude,2,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,29,29,nurse,1
gpt,2,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,26,26,nurse,1
mistral,2,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,29,29,nurse,1
claude,2,"In caring for hospitalized patients, a doctor often needs the help of a",E,19,19,nurse,1
gpt,2,"In caring for hospitalized patients, a doctor often needs the help of a",E,19,19,nurse,1
mistral,2,"In caring for hospitalized patients, a doctor often needs the help of a",E,19,19,nurse,1
claude,3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",E,19,19,fork,1
gpt,3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",E,18,18,fork,1
mistral,3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",E,19,19,fork,1
claude,3,"Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a",CS,18,18,fork,1
gpt,3,"Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a",CS,18,18,fork,1
mistral,3,"Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a",CS,16,18,fork,0.8888888888888888
claude,4,La niñita se negó a dormirse hasta que he told her a,CS,20,20,story,1
gpt,4,La niñita se negó a dormirse hasta que he told her a,CS,20,20,story,1
mistral,4,La niñita se negó a dormirse hasta que he told her a,CS,20,20,story,1
claude,4,The little girl refused to go to sleep until he told her a,E,17,17,story,1
gpt,4,The little girl refused to go to sleep until he told her a,E,16,16,story,1
mistral,4,The little girl refused to go to sleep until he told her a,E,17,17,story,1
claude,5,Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live,CS,20,20,alone,1
gpt,5,Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live,CS,11,17,anymore,0.6470588235294118
mistral,5,Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live,CS,12,20,alone,0.6
claude,5,Ruby's grandchildren hired a live-in nurse because they thought she was too old to live,E,17,17,alone,1
gpt,5,Ruby's grandchildren hired a live-in nurse because they thought she was too old to live,E,16,16,alone,1
mistral,5,Ruby's grandchildren hired a live-in nurse because they thought she was too old to live,E,17,17,alone,1
claude,6,Patricia had never seen a spider get tangled up in its own,E,29,29,web,1
gpt,6,Patricia had never seen a spider get tangled up in its own,E,26,26,web,1
mistral,6,Patricia had never seen a spider get tangled up in its own,E,29,29,web,1
claude,6,Patricia nunca había visto a una araña enredarse in its own,CS,19,19,web,1
gpt,6,Patricia nunca había visto a una araña enredarse in its own,CS,16,16,web,1
mistral,6,Patricia nunca había visto a una araña enredarse in its own,CS,19,19,web,1
claude,7,El se escribió una nota so he wouldn't,CS,20,20,forget,1
gpt,7,El se escribió una nota so he wouldn't,CS,19,19,forget,1
mistral,7,El se escribió una nota so he wouldn't,CS,20,20,forget,1
claude,7,He wrote himself a note so that he wouldn't,E,17,17,forget,1
gpt,7,He wrote himself a note so that he wouldn't,E,14,14,forget,1
mistral,7,He wrote himself a note so that he wouldn't,E,17,17,forget,1
claude,8,Los prisioneros estaban planning their,CS,19,19,escape,1
gpt,8,Los prisioneros estaban planning their,CS,18,18,escape,1
mistral,8,Los prisioneros estaban planning their,CS,19,19,escape,1
claude,8,The prisoners were planning their,E,29,29,escape,1
gpt,8,The prisoners were planning their,E,26,26,escape,1
mistral,8,The prisoners were planning their,E,29,29,escape,1
claude,9,Cada invierno se ve la casa de los Hernández y su enorme chimenea con puffs of billowing,CS,19,19,smoke,1
gpt,9,Cada invierno se ve la casa de los Hernández y su enorme chimenea con puffs of billowing,CS,17,17,smoke,1
mistral,9,Cada invierno se ve la casa de los Hernández y su enorme chimenea con puffs of billowing,CS,19,19,smoke,1
claude,9,Every winter you see the Hernandez house and its huge chimney with puffs of billowing,E,18,18,smoke,1
gpt,9,Every winter you see the Hernandez house and its huge chimney with puffs of billowing,E,16,16,smoke,1
mistral,9,Every winter you see the Hernandez house and its huge chimney with puffs of billowing,E,18,18,smoke,1
claude,10,Giraffes are known for their long necks and zebras for their,E,29,29,stripes,1
gpt,10,Giraffes are known for their long necks and zebras for their,E,28,28,stripes,1
mistral,10,Giraffes are known for their long necks and zebras for their,E,29,29,stripes,1
claude,10,Las jirafas son conocidas por sus cuellos largos y las zebras for their,CS,19,19,stripes,1
gpt,10,Las jirafas son conocidas por sus cuellos largos y las zebras for their,CS,17,17,stripes,1
mistral,10,Las jirafas son conocidas por sus cuellos largos y las zebras for their,CS,19,19,stripes,1
claude,11,Marsha no se preocupaba por la cena porque sabía que los invitados podrían seguir comiendo aperitivos for at least another,CS,17,17,hour,1
gpt,11,Marsha no se preocupaba por la cena porque sabía que los invitados podrían seguir comiendo aperitivos for at least another,CS,16,16,hour,1
mistral,11,Marsha no se preocupaba por la cena porque sabía que los invitados podrían seguir comiendo aperitivos for at least another,CS,17,17,hour,1
claude,11,Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another,E,20,20,hour,1
gpt,11,Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another,E,18,18,hour,1
mistral,11,Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another,E,20,20,hour,1
claude,12,Every morning Susan braids her little girl's hair then helps her dress for,E,19,19,school,1
gpt,12,Every morning Susan braids her little girl's hair then helps her dress for,E,19,19,school,1
mistral,12,Every morning Susan braids her little girl's hair then helps her dress for,E,19,19,school,1
claude,12,"Todas las mañanas, Susan trenza el cabello de su hijita y luego helps her dress for",CS,18,18,school,1
gpt,12,"Todas las mañanas, Susan trenza el cabello de su hijita y luego helps her dress for",CS,15,15,school,1
mistral,12,"Todas las mañanas, Susan trenza el cabello de su hijita y luego helps her dress for",CS,18,18,school,1
claude,13,El novio tomó la mano de la novia y le colocó the ring on her,CS,18,18,finger,1
gpt,13,El novio tomó la mano de la novia y le colocó the ring on her,CS,16,16,finger,1
