InnerNumber,Item,Itemtype,cloze_clean,n,total,cloze_probability,participant
85,They raised pigs on their,E,farm,20,20,1,claude
86,He settled for American wine because the imported stuff was too,E,expensive,18,18,1,claude
86,Él se conformó con el vino americano porque the imported stuff was too,CS,expensive,19,19,1,claude
87,A Simón le parece bien escuchar música alta incluso si la puerta to his bedroom is,CS,open,19,19,1,claude
87,Simon thinks it's ok to listen to loud music even if the door to his bedroom is,E,open,18,18,1,claude
88,His skin was red from spending the day at the,E,beach,19,19,1,claude
88,Su piel estaba roja por haber pasado the day at the,CS,beach,29,29,1,claude
89,Felipe puso unas drops in his,CS,coffee,19,19,1,claude
89,Felipe put some drops in his,E,eyes,18,18,1,claude
90,The colonel wished the sergeant would treat his command not as a polite request but as a direct,E,order,17,17,1,claude
90,"Él coronel deseaba que el sargento tratara su orden no como una solicitud educada, but as a direct",CS,command,20,20,1,claude
91,Sharon dried the dishes with a,E,towel,19,19,1,claude
91,Sharon secó los dishes with a,CS,towel,18,18,1,claude
93,Esther didn't think the sword was that dangerous because it wasn't very,E,sharp,19,19,1,claude
93,Esther no pensaba que la espada era tan peligrosa porque it wasn't very,CS,sharp,18,18,1,claude
94,El bebé lloró and upset his,CS,mother,18,18,1,claude
94,The baby cried and upset his,E,mother,19,19,1,claude
95,Los inquilinos decidieron llevar a su landlord to,CS,court,19,19,1,claude
95,The tenants decided to take their landlord to,E,court,18,18,1,claude
96,"Cuando Jorge no pudo entrar a su auto, se arrodilló y buscó debajo del paragolpes for the spare",CS,key,17,17,1,claude
96,"When Jorge couldn't get into his car, he got down on one knee and reached under the bumper for the spare",E,key,20,20,1,claude
97,El trabajador de construcción habia desarrollado brazos muy fuertes de bajar las bolsas de cement from the,CS,truck,19,19,1,claude
97,The construction worker had developed very powerful arms from unloading bags of cement from the,E,truck,18,18,1,claude
98,Es importante to be on,CS,time,19,19,1,claude
98,It is important to be on,E,time,29,29,1,claude
99,El gato estaba acurrucado in Aunt Anna's,CS,lap,29,29,1,claude
99,The cat was curled up in Aunt Anna's,E,lap,19,19,1,claude
100,Nuestros invitados expeciales should be arriving,CS,soon,19,19,1,claude
100,Our special guests should be arriving,E,soon,29,29,1,claude
101,Each night the campers built a huge,E,bonfire,18,18,1,claude
101,Todas las noches los campistas built a huge,CS,bonfire,19,19,1,claude
102,"Está lloviendo, y me olvidé de mi coat, hat, and",CS,umbrella,29,29,1,claude
102,"It's raining, and I forgot my coat, hat, and",E,umbrella,19,19,1,claude
103,I just had a new sound system installed in my,E,car,29,29,1,claude
103,Recientemente tuve un sistema de sonido nuevo installed in my,CS,car,19,19,1,claude
104,El hombre que manejaba el equipaje parecía tomar mucho placer en arrojar the boxes marked,CS,fragile,18,18,1,claude
104,The luggage handler seemed to take great delight in tossing the boxes marked,E,fragile,19,19,1,claude
105,"Los días calurosos, muchas personas sun themselves on the",CS,beach,20,20,1,claude
105,"On hot days, many people sun themselves on the",E,beach,17,17,1,claude
106,He liked putting lemon and sugar in his hot,E,tea,19,19,1,claude
106,Le gusta agregar limón y azúcar in his hot,CS,tea,29,29,1,claude
107,Es difícil admitir when one is,CS,wrong,18,18,1,claude
107,It's hard to admit when one is,E,wrong,19,19,1,claude
108,"After dinner, they spent a long time over coffee just",E,talking,29,29,1,claude
108,"Después de la cena, ellos pasaron mucho tiempo over coffee just",CS,talking,19,19,1,claude
109,El fertilizante orgánico helped enrich the,CS,soil,18,18,1,claude
109,The organic fertilizer helped enrich the,E,soil,19,19,1,claude
110,El problema con Cristina es que she can't take a,CS,joke,20,20,1,claude
110,The problem with Christina is that she can't take a,E,joke,17,17,1,claude
111,Los dos ladrones llevaban pistolas but they didn't,CS,shoot,18,18,1,claude
111,The two robbers carried guns but they didn't,E,shoot,19,19,1,claude
112,After two hours of hard work they decided to take a short,E,break,20,20,1,claude
112,Después de dos horas de trabajo duro ellos decidieron to take a short,CS,break,17,17,1,claude
113,He carefully positioned the violin under his,E,chin,19,19,1,claude
113,Él puso cuidadosamente the violin under his,CS,chin,18,18,1,claude
114,He put a new sheet on the clean,E,bed,19,19,1,claude
114,Él puso una sábana nueva on the clean,CS,bed,18,18,1,claude
115,Ellos decidieron comprar una casa pequeña y construir una adición with two more,CS,bedrooms,19,19,1,claude
115,They decided to buy a small home and build an addition with two more,E,bedrooms,29,29,1,claude
116,La universidad no lo dejaba registrarse hasta que pagara las multas de demora on the borrowed,CS,books,29,29,1,claude
116,The university wouldn't let him register until he paid the overdue fines on the borrowed,E,books,19,19,1,claude
117,Carolina le enseñó a su hija de dos años que las fotos son cuadradas y the plates are,CS,round,19,19,1,claude
117,Carolina taught her two-year-old that the pictures are square and that the plates are,E,round,29,29,1,claude
118,"Cuando suena el himno nacional, todos are expected to",CS,stand,18,18,1,claude
118,"While the national anthem is played, everyone is expected to",E,stand,19,19,1,claude
119,After dinner they washed the dirty,E,dishes,17,17,1,claude
119,Después de la cena ellos washed the dirty,CS,dishes,20,20,1,claude
120,After lunch he scraped the cold food from his,E,plate,29,29,1,claude
120,Después del almuerzo él raspó the cold food from his,CS,plate,19,19,1,claude
121,Había viento por el aire frío que entraba por la puerta de entrada y all the side,CS,windows,20,20,1,claude
121,It was drafty because of the cold air leaking in through the front door and all the side,E,windows,17,17,1,claude
122,"Tracy and her husband weren't Catholic, but she was glad when the priest warmly welcomed their three",E,children,19,19,1,claude
122,"Tracy y su esposo no eran católicos, pero ella estaba contenta cuando un sacerdote cálidamente recibió a their three",CS,children,29,29,1,claude
124,As soon as they reached the sand he stopped to take off his,E,shoes,18,18,1,claude
124,En cuanto llegaron a la arena él se paró to take off his,CS,shoes,19,19,1,claude
125,Pedro painted the walls of the bird exhibit light blue to resemble the,E,sky,17,17,1,claude
125,Pedro pintó de color azul claro las paredes de la exibición de pájaros to resemble the,CS,sky,20,20,1,claude
126,El niño malo was sent to his,CS,room,29,29,1,claude
126,The bad boy was sent to his,E,room,19,19,1,claude
128,Nadie en la reunión de la escuela reconoció a Daniel porque he had grown a,CS,beard,20,20,1,claude
128,No one at the reunion recognized Daniel because he had grown a,E,beard,17,17,1,claude
130,El piano viejo was out of,CS,tune,17,17,1,claude
130,The old piano was out of,E,tune,20,20,1,claude
131,El niño nació with a rare,CS,disease,20,20,1,claude
131,The child was born with a rare,E,disease,17,17,1,claude
134,El entró furtivamente al room without a,CS,sound,29,29,1,claude
134,He crept into the room without a,E,sound,19,19,1,claude
135,La salida estaba indicada by a large,CS,sign,17,17,1,claude
135,The exit was marked by a large,E,sign,20,20,1,claude
136,Juan fue a la ferretería y compró una ventana de repuesto at twice the original,CS,price,17,17,1,claude
136,Juan went to the hardware store and bought a replacement window at twice the original,E,price,20,20,1,claude
137,Samuel could not believe the story was,E,true,19,19,1,claude
137,Samuel no podía creer que the story was,CS,true,18,18,1,claude
138,Las reglas no permiten que los visitors feed the,CS,animals,18,18,1,claude
138,The rules did not allow visitors to feed the,E,animals,19,19,1,claude
139,"Cuando Andres llegó al restaurante inseperadamente, Lorenzo le trajo una silla from the adjacent",CS,room,29,29,1,claude
139,"When Andres arrived unexpectedly at the restaurant, Lorenzo got him a chair from the adjacent",E,room,19,19,1,claude
140,Ella pensó que she had seen a,CS,ghost,29,29,1,claude
140,She thought she had seen a,E,ghost,19,19,1,claude
141,Le preguntaron al joyero si podía examinar the ring's huge,CS,diamond,29,29,1,claude
141,The jeweler was asked if he would examine the ring's huge,E,diamond,19,19,1,claude
142,"Necesitaba un cable cargador especial, pero she couldn't find it inside her",CS,purse,17,17,1,claude
142,"She needed a special charging cable, but could not find it inside her",E,purse,20,20,1,claude
143,He took a new cork screw and opened the,E,bottle,18,18,1,claude
143,Él agarró un sacacorchos nuevo and opened the,CS,bottle,19,19,1,claude
144,He folded out a big drying rack to dry the,E,laundry,17,17,1,claude
144,Él desdobló un gran drying rack to dry the,CS,clothes,20,20,1,claude
145,Ella agarró una jarra grande cerca de la canilla and filled it with,CS,water,20,20,1,claude
145,She grabbed a big pitcher near the sink and filled it with,E,water,17,17,1,claude
146,He got out a clean tissue to wipe his,E,nose,18,18,1,claude
146,Él sacó un pañuelo limpio to wipe his,CS,nose,19,19,1,claude
1,Nora couldn't take the message because she didn't have a pencil or a piece of,E,paper,19,19,1,mistral
1,Nora no pudo tomar el mensaje porque no tenía un lapiz ni un piece of,CS,paper,18,18,1,mistral
2,"Al atender a pacientes hospitalizados, un médico a veces necesita the help of a",CS,nurse,29,29,1,mistral
2,"In caring for hospitalized patients, a doctor often needs the help of a",E,nurse,19,19,1,mistral
3,"After realizing he forgot utensils for his salad, the customer went back to get himself a",E,fork,19,19,1,mistral
3,"Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a",CS,fork,16,18,0.8888888888888888,mistral
3,"Al darse cuenta que se le había olvidado de los cubiertos, el cliente regresó to get himself a",CS,forks,2,18,0.1111111111111111,mistral
4,La niñita se negó a dormirse hasta que he told her a,CS,story,20,20,1,mistral
4,The little girl refused to go to sleep until he told her a,E,story,17,17,1,mistral
5,Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live,CS,alone,12,20,0.6,mistral
5,Los nietos de Ruby contrataron a una enfermera interna porque pensaron que era too old to live,CS,senior,8,20,0.4,mistral
5,Ruby's grandchildren hired a live-in nurse because they thought she was too old to live,E,alone,17,17,1,mistral
6,Patricia had never seen a spider get tangled up in its own,E,web,29,29,1,mistral
6,Patricia nunca había visto a una araña enredarse in its own,CS,web,19,19,1,mistral
7,El se escribió una nota so he wouldn't,CS,forget,20,20,1,mistral
7,He wrote himself a note so that he wouldn't,E,forget,17,17,1,mistral
8,Los prisioneros estaban planning their,CS,escape,19,19,1,mistral
8,The prisoners were planning their,E,escape,29,29,1,mistral
9,Cada invierno se ve la casa de los Hernández y su enorme chimenea con puffs of billowing,CS,smoke,19,19,1,mistral
9,Every winter you see the Hernandez house and its huge chimney with puffs of billowing,E,smoke,18,18,1,mistral
10,Giraffes are known for their long necks and zebras for their,E,stripes,29,29,1,mistral
10,Las jirafas son conocidas por sus cuellos largos y las zebras for their,CS,stripes,19,19,1,mistral
11,Marsha no se preocupaba por la cena porque sabía que los invitados podrían seguir comiendo aperitivos for at least another,CS,hour,17,17,1,mistral
11,Marsha wasn't worried about dinner because she knew the guests could remain eating appetizers for at least another,E,hour,20,20,1,mistral
12,Every morning Susan braids her little girl's hair then helps her dress for,E,school,19,19,1,mistral
12,"Todas las mañanas, Susan trenza el cabello de su hijita y luego helps her dress for",CS,school,18,18,1,mistral
13,El novio tomó la mano de la novia y le colocó the ring on her,CS,finger,18,18,1,mistral
13,The groom took the bride's hand and placed the ring on her,E,finger,19,19,1,mistral
14,El pequeño cachorro creció to be a huge,CS,dog,20,20,1,mistral
14,The little puppy grew up to be a huge,E,dog,17,17,1,mistral
15,Father carved the turkey with a,E,knife,17,17,1,mistral
15,Papá trinchó el turkey with a,CS,knife,20,20,1,mistral
16,After the meeting I added my name to the,E,list,17,17,1,mistral
16,"Después de la reunión, agregué mi name to the",CS,attendancelist,8,20,0.4,mistral
16,"Después de la reunión, agregué mi name to the",CS,list,12,20,0.6,mistral
17,"Mike felt sorry, but it was not his",E,fault,17,17,1,mistral
17,"Mike sintió pena, pero it was not his",CS,fault,20,20,1,mistral
18,He tried to put the pieces of the broken plate back together with,E,glue,18,18,1,mistral
18,Intentó volver a juntar los pedazos del broken plate back together with,CS,glue,19,19,1,mistral
19,El profesor vio que algunos estudiantes estaban haciendo trampa and wrote down their,CS,names,17,17,1,mistral
19,The teacher saw that some students were cheating and wrote down their,E,names,20,20,1,mistral
20,Maria remembered to shut the front window and lock the back,E,door,17,17,1,mistral
20,María se acordó de cerrar la ventana delantera y lock the back,CS,door,20,20,1,mistral
21,No puedes abrir la puerta with the wrong,CS,key,17,17,1,mistral
21,You can't open the door with the wrong,E,key,20,20,1,mistral
23,"Cuando se fue la luz, the house became",CS,dark,29,29,1,mistral
23,When the power went out the house became,E,dark,19,19,1,mistral
24,Alfonso ha empezado a ir en bicicleta al trabajo instead of driving his,CS,carro,17,17,1,mistral
24,Alfonso has started biking to work instead of driving his,E,car,20,20,1,mistral
25,A dog has a good sense of,E,smell,19,19,1,mistral
25,Un perro tiene un good sense of,CS,smell,29,29,1,mistral
26,La mayoría de la gente pasa el 25 de December with their,CS,family,18,18,1,mistral
26,Most people spend December 25th with their,E,family,19,19,1,mistral
27,At night the old woman made sure to lock the,E,door,20,20,1,mistral
27,En la noche la mujer mayor made sure to lock the,CS,door,17,17,1,mistral
28,Ellos vieron el relámpago and heard the,CS,thunder,19,19,1,mistral
28,They saw the lightning and heard the,E,thunder,29,29,1,mistral
29,Ella tuvo que salir del cine cuando the baby started to,CS,cry,17,17,1,mistral
29,She had to leave the movie when the baby started to,E,cry,20,20,1,mistral
30,"I greeted him, but could not remember his last",E,name,20,20,1,mistral
30,"Lo saludé, pero no podía remember his last",CS,name,17,17,1,mistral
32,"Although she heard it ringing, Nancy was too busy cleaning the chimney to get the",E,phone,20,20,1,mistral
32,"Aunque lo eschuchó sonar, Nancy estaba demasiado ocupada limpiando the chimney to get the",CS,fireplace,1,17,0.058823529411764705,mistral
32,"Aunque lo eschuchó sonar, Nancy estaba demasiado ocupada limpiando the chimney to get the",CS,message,16,17,0.9411764705882353,mistral
33,"After the hurricane, the area around the window was filled with broken",E,debris,19,19,1,mistral
33,"Después del huracán, el área alrededor de la ventana was filled with broken",CS,debris,29,29,1,mistral
35,La disputa fue resuelta by a third,CS,mediator,8,19,0.42105263157894735,mistral
35,La disputa fue resuelta by a third,CS,party,11,19,0.5789473684210527,mistral
35,The dispute was settled by a third,E,mediator,18,18,1,mistral
36,Se notaba que había crecido en the South by his,CS,clothes,18,18,1,mistral
36,You could tell he had grown up in the South by his,E,accent,19,19,1,mistral
37,Be careful because the top of the stove is very,E,hot,19,19,1,mistral
37,Ten cuidado porque la parte de arriba del stove is very,CS,hot,29,29,1,mistral
38,"Cuando te vayas a dormir, turn off the",CS,light,17,17,1,mistral
38,When you go to bed turn off the,E,light,20,20,1,mistral
39,"Cuando los dos se encontraron, uno de ellos held out his",CS,hand,19,19,1,mistral
39,"When the two met, one of them held out his",E,hand,18,18,1,mistral
40,Pablo pintó el traje del payaso de azul y le dio a big red,CS,nose,16,17,0.9411764705882353,mistral
40,Pablo pintó el traje del payaso de azul y le dio a big red,CS,smile,1,17,0.058823529411764705,mistral
40,Paul painted the clown's suit blue and gave him a big red,E,nose,20,20,1,mistral
41,Tom jumped in the lake and made a big,E,splash,19,19,1,mistral
41,Tom saltó en el lago and made a big,CS,splash,29,29,1,mistral
42,Josie found she could not bend the elbow of her broken,E,arm,18,18,1,mistral
42,Josie se dio cuenta de que no podía doblar the elbow of her broken,CS,arm,19,19,1,mistral
43,His boss refused to give him a,E,raise,20,20,1,mistral
43,Su jefe se negó to give him a,CS,raise,17,17,1,mistral
44,He knew that he could call Chris even if it was the middle of the,E,night,19,19,1,mistral
44,Él sabía que podía llamar a Chris incluso in the middle of the,CS,night,29,29,1,mistral
45,Los niños de la escuela went outside to,CS,play,18,18,1,mistral
45,The school children went outside to,E,play,19,19,1,mistral
46,Joan fed her baby some warm,E,milk,18,18,1,mistral
46,Joan le dio de comer a su baby some warm,CS,milk,19,19,1,mistral
47,Las escuelas se cerraron porque the teachers decided to go on,CS,strike,19,19,1,mistral
47,The schools closed down because the teachers decided to go on,E,strike,18,18,1,mistral
48,"Dentro de minutos de llegar al trabajo, el ejecutivo spilled his thermos full of",CS,coffee,19,19,1,mistral
48,"Within minutes of arriving at the office, the executive spilled his thermos full of",E,coffee,29,29,1,mistral
49,Mi compañero de cuarto de Miami dejó the dirty dishes in the,CS,sink,20,20,1,mistral
49,My roommate from Miami left the dirty dishes in the,E,sink,17,17,1,mistral
50,Le descontaron una hora de pago for coming to work,CS,late,19,19,1,mistral
50,She was docked one hour's pay for coming to work,E,late,18,18,1,mistral
51,Ricardo estaba asustado de caminar cerca a la orilla del precipicio porque he was afraid he would,CS,fall,18,19,0.9473684210526315,mistral
51,Ricardo estaba asustado de caminar cerca a la orilla del precipicio porque he was afraid he would,CS,fallar,1,19,0.05263157894736842,mistral
51,Richard was afraid to walk near the edge of the cliff because he was afraid he would,E,fall,29,29,1,mistral
52,Nicole could not read very well without her thick,E,glasses,18,18,1,mistral
